"fips_code","county","date","total_outage","day_difference"
12001,"Alachua","2023-08-27",605.25,-3
12001,"Alachua","2023-08-28",428.25,-2
12001,"Alachua","2023-08-29",568.75,-1
12001,"Alachua","2023-08-30",112240.25,0
12001,"Alachua","2023-08-31",144384,1
12001,"Alachua","2023-09-01",24105,2
12001,"Alachua","2023-09-02",3587.75,3
12001,"Alachua","2023-09-03",4548.25,4
12001,"Alachua","2023-09-04",185.25,5
12001,"Alachua","2023-09-05",91.5,6
12001,"Alachua","2023-09-06",110.5,7
12001,"Alachua","2023-09-07",1262.75,8
12001,"Alachua","2023-09-08",585.5,9
12001,"Alachua","2023-09-09",24.5,10
12001,"Alachua","2023-09-10",1339.5,11
12001,"Alachua","2023-09-11",118,12
12001,"Alachua","2023-09-12",229.25,13
12001,"Alachua","2023-09-13",24.5,14
12003,"Baker","2023-08-27",14,-3
12003,"Baker","2023-08-28",0,-2
12003,"Baker","2023-08-29",14.25,-1
12003,"Baker","2023-08-30",37877.5,0
12003,"Baker","2023-08-31",33935.75,1
12003,"Baker","2023-09-01",3971,2
12003,"Baker","2023-09-02",19.75,3
12003,"Baker","2023-09-03",4,4
12003,"Baker","2023-09-04",2.75,5
12003,"Baker","2023-09-05",2,6
12003,"Baker","2023-09-06",101.5,7
12003,"Baker","2023-09-07",10.5,8
12003,"Baker","2023-09-08",10.75,9
12003,"Baker","2023-09-09",14,10
12003,"Baker","2023-09-10",37.5,11
12003,"Baker","2023-09-11",92.5,12
12003,"Baker","2023-09-12",0.75,13
12003,"Baker","2023-09-13",213.75,14
12005,"Bay","2023-08-27",10878,-3
12005,"Bay","2023-08-28",176.75,-2
12005,"Bay","2023-08-29",468.75,-1
12005,"Bay","2023-08-30",96.75,0
12005,"Bay","2023-08-31",216,1
12005,"Bay","2023-09-01",2928,2
12005,"Bay","2023-09-02",83.5,3
12005,"Bay","2023-09-03",122,4
12005,"Bay","2023-09-04",1304.5,5
12005,"Bay","2023-09-05",283.25,6
12005,"Bay","2023-09-06",52.5,7
12005,"Bay","2023-09-07",63,8
12005,"Bay","2023-09-08",1030,9
12005,"Bay","2023-09-09",26.25,10
12005,"Bay","2023-09-10",556.25,11
12005,"Bay","2023-09-11",143,12
12005,"Bay","2023-09-12",561.5,13
12005,"Bay","2023-09-13",8389,14
12007,"Bradford","2023-08-27",0.5,-3
12007,"Bradford","2023-08-28",0,-2
12007,"Bradford","2023-08-29",88.25,-1
12007,"Bradford","2023-08-30",13024,0
12007,"Bradford","2023-08-31",4504,1
12007,"Bradford","2023-09-01",8,2
12007,"Bradford","2023-09-02",12.5,3
12007,"Bradford","2023-09-03",19,4
12007,"Bradford","2023-09-04",8,5
12007,"Bradford","2023-09-05",4.75,6
12007,"Bradford","2023-09-06",0,7
12007,"Bradford","2023-09-07",3,8
12007,"Bradford","2023-09-08",11.75,9
12007,"Bradford","2023-09-09",17,10
12007,"Bradford","2023-09-10",7,11
12007,"Bradford","2023-09-11",18,12
12007,"Bradford","2023-09-12",9.75,13
12007,"Bradford","2023-09-13",7.25,14
12009,"Brevard","2023-08-27",262.25,-3
12009,"Brevard","2023-08-28",957,-2
12009,"Brevard","2023-08-29",2105,-1
12009,"Brevard","2023-08-30",10502.75,0
12009,"Brevard","2023-08-31",3635,1
12009,"Brevard","2023-09-01",2046,2
12009,"Brevard","2023-09-02",678.75,3
12009,"Brevard","2023-09-03",126,4
12009,"Brevard","2023-09-04",132.5,5
12009,"Brevard","2023-09-05",414.5,6
12009,"Brevard","2023-09-06",719,7
12009,"Brevard","2023-09-07",774.5,8
12009,"Brevard","2023-09-08",5382.25,9
12009,"Brevard","2023-09-09",3847.25,10
12009,"Brevard","2023-09-10",363.25,11
12009,"Brevard","2023-09-11",1106,12
12009,"Brevard","2023-09-12",973.5,13
12009,"Brevard","2023-09-13",980,14
12011,"Broward","2023-08-27",2044,-3
12011,"Broward","2023-08-28",4687.25,-2
12011,"Broward","2023-08-29",8328.5,-1
12011,"Broward","2023-08-30",18855.25,0
12011,"Broward","2023-08-31",24023.25,1
12011,"Broward","2023-09-01",8485.5,2
12011,"Broward","2023-09-02",7634,3
12011,"Broward","2023-09-03",3372.25,4
12011,"Broward","2023-09-04",1769,5
12011,"Broward","2023-09-05",2276.5,6
12011,"Broward","2023-09-06",1769.5,7
12011,"Broward","2023-09-07",3104,8
12011,"Broward","2023-09-08",1711,9
12011,"Broward","2023-09-09",8825,10
12011,"Broward","2023-09-10",4015.25,11
12011,"Broward","2023-09-11",6188.25,12
12011,"Broward","2023-09-12",2714,13
12011,"Broward","2023-09-13",3035.5,14
12013,"Calhoun","2023-08-27",139.75,-3
12013,"Calhoun","2023-08-28",3,-2
12013,"Calhoun","2023-08-30",5.25,0
12013,"Calhoun","2023-09-01",0.5,2
12013,"Calhoun","2023-09-04",0.25,5
12013,"Calhoun","2023-09-06",10,7
12013,"Calhoun","2023-09-07",0.25,8
12013,"Calhoun","2023-09-08",0,9
12013,"Calhoun","2023-09-10",3,11
12013,"Calhoun","2023-09-11",24.5,12
12013,"Calhoun","2023-09-13",0,14
12015,"Charlotte","2023-08-27",390,-3
12015,"Charlotte","2023-08-28",785.5,-2
12015,"Charlotte","2023-08-29",844.5,-1
12015,"Charlotte","2023-08-30",33466,0
12015,"Charlotte","2023-08-31",704.75,1
12015,"Charlotte","2023-09-01",260.75,2
12015,"Charlotte","2023-09-02",106.5,3
12015,"Charlotte","2023-09-03",238.5,4
12015,"Charlotte","2023-09-04",103,5
12015,"Charlotte","2023-09-05",103.75,6
12015,"Charlotte","2023-09-06",334.25,7
12015,"Charlotte","2023-09-07",161.75,8
12015,"Charlotte","2023-09-08",609.25,9
12015,"Charlotte","2023-09-09",310.75,10
12015,"Charlotte","2023-09-10",15.25,11
12015,"Charlotte","2023-09-11",68.5,12
12015,"Charlotte","2023-09-12",162.5,13
12015,"Charlotte","2023-09-13",128.5,14
12017,"Citrus","2023-08-27",89.25,-3
12017,"Citrus","2023-08-28",294,-2
12017,"Citrus","2023-08-29",7774,-1
12017,"Citrus","2023-08-30",55764.5,0
12017,"Citrus","2023-08-31",42095.5,1
12017,"Citrus","2023-09-01",2515,2
12017,"Citrus","2023-09-02",630.25,3
12017,"Citrus","2023-09-03",26.5,4
12017,"Citrus","2023-09-04",64.25,5
12017,"Citrus","2023-09-05",121,6
12017,"Citrus","2023-09-06",13092.25,7
12017,"Citrus","2023-09-07",1576.5,8
12017,"Citrus","2023-09-08",186,9
12017,"Citrus","2023-09-09",62.25,10
12017,"Citrus","2023-09-10",161,11
12017,"Citrus","2023-09-11",787,12
12017,"Citrus","2023-09-12",65.25,13
12017,"Citrus","2023-09-13",138.25,14
12019,"Clay","2023-08-27",6,-3
12019,"Clay","2023-08-28",58,-2
12019,"Clay","2023-08-29",48.75,-1
12019,"Clay","2023-08-30",24844.75,0
12019,"Clay","2023-08-31",3202.5,1
12019,"Clay","2023-09-01",2253,2
12019,"Clay","2023-09-02",256.75,3
12019,"Clay","2023-09-03",37.5,4
12019,"Clay","2023-09-04",0.25,5
12019,"Clay","2023-09-05",78.25,6
12019,"Clay","2023-09-06",31.75,7
12019,"Clay","2023-09-07",253,8
12019,"Clay","2023-09-08",180.25,9
12019,"Clay","2023-09-09",93.75,10
12019,"Clay","2023-09-10",96.25,11
12019,"Clay","2023-09-11",2663.75,12
12019,"Clay","2023-09-12",72.25,13
12019,"Clay","2023-09-13",540.75,14
12021,"Collier","2023-08-27",1097.25,-3
12021,"Collier","2023-08-28",723.5,-2
12021,"Collier","2023-08-29",4836,-1
12021,"Collier","2023-08-30",9346.75,0
12021,"Collier","2023-08-31",3081.25,1
12021,"Collier","2023-09-01",674.25,2
12021,"Collier","2023-09-02",3563,3
12021,"Collier","2023-09-03",972,4
12021,"Collier","2023-09-04",495.25,5
12021,"Collier","2023-09-05",397.75,6
12021,"Collier","2023-09-06",279,7
12021,"Collier","2023-09-07",5821.25,8
12021,"Collier","2023-09-08",1741,9
12021,"Collier","2023-09-09",632.5,10
12021,"Collier","2023-09-10",391.25,11
12021,"Collier","2023-09-11",188.5,12
12021,"Collier","2023-09-12",557.75,13
12021,"Collier","2023-09-13",689.5,14
12023,"Columbia","2023-08-27",974.25,-3
12023,"Columbia","2023-08-28",318.75,-2
12023,"Columbia","2023-08-29",15.25,-1
12023,"Columbia","2023-08-30",289614,0
12023,"Columbia","2023-08-31",423293,1
12023,"Columbia","2023-09-01",235562.75,2
12023,"Columbia","2023-09-02",34507.5,3
12023,"Columbia","2023-09-03",13428,4
12023,"Columbia","2023-09-04",7709.25,5
12023,"Columbia","2023-09-05",3840,6
12023,"Columbia","2023-09-06",1010.5,7
12023,"Columbia","2023-09-07",154.25,8
12023,"Columbia","2023-09-08",548.25,9
12023,"Columbia","2023-09-09",2077.5,10
12023,"Columbia","2023-09-10",160,11
12023,"Columbia","2023-09-11",213.5,12
12023,"Columbia","2023-09-12",208.5,13
12023,"Columbia","2023-09-13",262.5,14
12027,"DeSoto","2023-08-27",8.25,-3
12027,"DeSoto","2023-08-28",11.25,-2
12027,"DeSoto","2023-08-29",215.5,-1
12027,"DeSoto","2023-08-30",6177,0
12027,"DeSoto","2023-08-31",29,1
12027,"DeSoto","2023-09-01",26.25,2
12027,"DeSoto","2023-09-02",30.25,3
12027,"DeSoto","2023-09-03",0,4
12027,"DeSoto","2023-09-04",16.5,5
12027,"DeSoto","2023-09-05",20.25,6
12027,"DeSoto","2023-09-06",20.25,7
12027,"DeSoto","2023-09-07",4.25,8
12027,"DeSoto","2023-09-08",184,9
12027,"DeSoto","2023-09-09",4.25,10
12027,"DeSoto","2023-09-10",22.75,11
12027,"DeSoto","2023-09-11",30.25,12
12027,"DeSoto","2023-09-12",7.75,13
12027,"DeSoto","2023-09-13",111.5,14
12029,"Dixie","2023-08-27",26.25,-3
12029,"Dixie","2023-08-28",84.5,-2
12029,"Dixie","2023-08-29",354.75,-1
12029,"Dixie","2023-08-30",115794,0
12029,"Dixie","2023-08-31",212902.75,1
12029,"Dixie","2023-09-01",176631.75,2
12029,"Dixie","2023-09-02",112398.5,3
12029,"Dixie","2023-09-03",79172.5,4
12029,"Dixie","2023-09-04",37248.75,5
12029,"Dixie","2023-09-05",22982,6
12029,"Dixie","2023-09-06",1349.5,7
12029,"Dixie","2023-09-07",409.25,8
12029,"Dixie","2023-09-08",434.5,9
12029,"Dixie","2023-09-09",434.25,10
12029,"Dixie","2023-09-10",12.5,11
12029,"Dixie","2023-09-11",115.25,12
12029,"Dixie","2023-09-12",137.75,13
12029,"Dixie","2023-09-13",66,14
12031,"Duval","2023-08-27",38,-3
12031,"Duval","2023-08-28",1021,-2
12031,"Duval","2023-08-29",5765,-1
12031,"Duval","2023-08-30",92327.75,0
12031,"Duval","2023-08-31",11215.25,1
12031,"Duval","2023-09-01",2135.75,2
12031,"Duval","2023-09-02",124,3
12031,"Duval","2023-09-03",764.75,4
12031,"Duval","2023-09-04",426.5,5
12031,"Duval","2023-09-05",329.75,6
12031,"Duval","2023-09-06",49.25,7
12031,"Duval","2023-09-07",105.25,8
12031,"Duval","2023-09-08",265.5,9
12031,"Duval","2023-09-09",1547.25,10
12031,"Duval","2023-09-10",212.5,11
12031,"Duval","2023-09-11",15068.5,12
12031,"Duval","2023-09-12",13621.25,13
12031,"Duval","2023-09-13",3057.25,14
12033,"Escambia","2023-08-27",259.75,-3
12033,"Escambia","2023-08-28",415.5,-2
12033,"Escambia","2023-08-29",2939.25,-1
12033,"Escambia","2023-08-30",288,0
12033,"Escambia","2023-08-31",70.5,1
12033,"Escambia","2023-09-01",1093.75,2
12033,"Escambia","2023-09-02",2255.25,3
12033,"Escambia","2023-09-03",619.5,4
12033,"Escambia","2023-09-04",282.75,5
12033,"Escambia","2023-09-05",306,6
12033,"Escambia","2023-09-06",122.25,7
12033,"Escambia","2023-09-07",904.5,8
12033,"Escambia","2023-09-08",1062,9
12033,"Escambia","2023-09-09",41.25,10
12033,"Escambia","2023-09-10",22.5,11
12033,"Escambia","2023-09-11",512.75,12
12033,"Escambia","2023-09-12",836,13
12033,"Escambia","2023-09-13",4347.5,14
12035,"Flagler","2023-08-27",5,-3
12035,"Flagler","2023-08-28",411.75,-2
12035,"Flagler","2023-08-29",88.75,-1
12035,"Flagler","2023-08-30",1978,0
12035,"Flagler","2023-08-31",161,1
12035,"Flagler","2023-09-01",6.5,2
12035,"Flagler","2023-09-02",14,3
12035,"Flagler","2023-09-03",3,4
12035,"Flagler","2023-09-04",2.25,5
12035,"Flagler","2023-09-05",122.75,6
12035,"Flagler","2023-09-06",21,7
12035,"Flagler","2023-09-07",33.25,8
12035,"Flagler","2023-09-08",1185,9
12035,"Flagler","2023-09-09",312.5,10
12035,"Flagler","2023-09-10",22.75,11
12035,"Flagler","2023-09-11",249.5,12
12035,"Flagler","2023-09-12",30.5,13
12035,"Flagler","2023-09-13",292.75,14
12037,"Franklin","2023-08-27",9.25,-3
12037,"Franklin","2023-08-28",19.25,-2
12037,"Franklin","2023-08-29",2.5,-1
12037,"Franklin","2023-08-30",6835.75,0
12037,"Franklin","2023-08-31",246.5,1
12037,"Franklin","2023-09-01",230.25,2
12037,"Franklin","2023-09-02",47,3
12037,"Franklin","2023-09-06",0,7
12037,"Franklin","2023-09-13",4.5,14
12039,"Gadsden","2023-08-27",130.25,-3
12039,"Gadsden","2023-08-28",85.75,-2
12039,"Gadsden","2023-08-29",175.75,-1
12039,"Gadsden","2023-08-30",10560.25,0
12039,"Gadsden","2023-08-31",1160.75,1
12039,"Gadsden","2023-09-01",7.25,2
12039,"Gadsden","2023-09-02",4,3
12039,"Gadsden","2023-09-04",3.25,5
12039,"Gadsden","2023-09-05",4.5,6
12039,"Gadsden","2023-09-06",65.75,7
12039,"Gadsden","2023-09-07",140.75,8
12039,"Gadsden","2023-09-08",549.5,9
12039,"Gadsden","2023-09-09",6.75,10
12039,"Gadsden","2023-09-10",11.5,11
12039,"Gadsden","2023-09-11",14,12
12039,"Gadsden","2023-09-12",289.5,13
12039,"Gadsden","2023-09-13",12.25,14
12041,"Gilchrist","2023-08-27",10.25,-3
12041,"Gilchrist","2023-08-28",63.25,-2
12041,"Gilchrist","2023-08-29",70.25,-1
12041,"Gilchrist","2023-08-30",93983.5,0
12041,"Gilchrist","2023-08-31",143846,1
12041,"Gilchrist","2023-09-01",87987.75,2
12041,"Gilchrist","2023-09-02",49379.5,3
12041,"Gilchrist","2023-09-03",18141,4
12041,"Gilchrist","2023-09-04",5815.5,5
12041,"Gilchrist","2023-09-05",293.75,6
12041,"Gilchrist","2023-09-06",245.25,7
12041,"Gilchrist","2023-09-07",194.5,8
12041,"Gilchrist","2023-09-08",149,9
12041,"Gilchrist","2023-09-09",232.75,10
12041,"Gilchrist","2023-09-10",8.25,11
12041,"Gilchrist","2023-09-11",34.75,12
12041,"Gilchrist","2023-09-12",50.25,13
12041,"Gilchrist","2023-09-13",136.25,14
12043,"Glades","2023-08-28",5.25,-2
12043,"Glades","2023-08-29",521,-1
12043,"Glades","2023-08-30",21.5,0
12043,"Glades","2023-08-31",0,1
12043,"Glades","2023-09-02",242.5,3
12043,"Glades","2023-09-03",0,4
12043,"Glades","2023-09-05",5,6
12043,"Glades","2023-09-06",27.5,7
12043,"Glades","2023-09-07",2.75,8
12043,"Glades","2023-09-09",4.5,10
12043,"Glades","2023-09-11",4.5,12
12043,"Glades","2023-09-12",0,13
12045,"Gulf","2023-08-27",22867,-3
12045,"Gulf","2023-08-28",1,-2
12045,"Gulf","2023-08-29",266.75,-1
12045,"Gulf","2023-08-30",4258.25,0
12045,"Gulf","2023-08-31",9,1
12045,"Gulf","2023-09-01",2.75,2
12045,"Gulf","2023-09-02",4701.5,3
12045,"Gulf","2023-09-04",1.25,5
12045,"Gulf","2023-09-06",0.75,7
12045,"Gulf","2023-09-07",112.5,8
12045,"Gulf","2023-09-08",8.5,9
12045,"Gulf","2023-09-09",3,10
12045,"Gulf","2023-09-11",1,12
12045,"Gulf","2023-09-12",4,13
12045,"Gulf","2023-09-13",21.25,14
12047,"Hamilton","2023-08-27",927.25,-3
12047,"Hamilton","2023-08-28",18.25,-2
12047,"Hamilton","2023-08-29",305.5,-1
12047,"Hamilton","2023-08-30",57319,0
12047,"Hamilton","2023-08-31",187442.75,1
12047,"Hamilton","2023-09-01",161357,2
12047,"Hamilton","2023-09-02",119693.75,3
12047,"Hamilton","2023-09-03",98278.5,4
12047,"Hamilton","2023-09-04",70825.75,5
12047,"Hamilton","2023-09-05",53932.75,6
12047,"Hamilton","2023-09-06",30813.5,7
12047,"Hamilton","2023-09-07",8570,8
12047,"Hamilton","2023-09-08",3054.5,9
12047,"Hamilton","2023-09-09",2590.25,10
12047,"Hamilton","2023-09-10",1258.75,11
12047,"Hamilton","2023-09-11",641.25,12
12047,"Hamilton","2023-09-12",580,13
12047,"Hamilton","2023-09-13",273.25,14
12049,"Hardee","2023-08-27",6.25,-3
12049,"Hardee","2023-08-28",2.75,-2
12049,"Hardee","2023-08-29",59.5,-1
12049,"Hardee","2023-08-30",131.75,0
12049,"Hardee","2023-08-31",8.5,1
12049,"Hardee","2023-09-01",402.25,2
12049,"Hardee","2023-09-02",217.5,3
12049,"Hardee","2023-09-03",16.25,4
12049,"Hardee","2023-09-05",10.5,6
12049,"Hardee","2023-09-06",14,7
12049,"Hardee","2023-09-07",0.25,8
