"fips_code","county","date","total_outage","day_difference"
12001,"Alachua",2022-09-25,61.25,-3
12001,"Alachua",2022-09-26,81,-2
12001,"Alachua",2022-09-27,153,-1
12001,"Alachua",2022-09-28,1459.25,0
12001,"Alachua",2022-09-29,105062,1
12001,"Alachua",2022-09-30,12626.75,2
12001,"Alachua",2022-10-01,304.5,3
12001,"Alachua",2022-10-02,119.75,4
12001,"Alachua",2022-10-03,280,5
12001,"Alachua",2022-10-04,464.5,6
12001,"Alachua",2022-10-05,42.5,7
12001,"Alachua",2022-10-06,132.5,8
12001,"Alachua",2022-10-07,348,9
12001,"Alachua",2022-10-08,96.75,10
12001,"Alachua",2022-10-09,1814.5,11
12001,"Alachua",2022-10-10,131.75,12
12001,"Alachua",2022-10-11,1781,13
12001,"Alachua",2022-10-12,142.75,14
12003,"Baker",2022-09-25,23.25,-3
12003,"Baker",2022-09-26,0.5,-2
12003,"Baker",2022-09-27,2.5,-1
12003,"Baker",2022-09-28,465.75,0
12003,"Baker",2022-09-29,9311,1
12003,"Baker",2022-09-30,3340.75,2
12003,"Baker",2022-10-01,40.25,3
12003,"Baker",2022-10-02,106,4
12003,"Baker",2022-10-03,2.75,5
12003,"Baker",2022-10-04,43,6
12003,"Baker",2022-10-05,142.75,7
12003,"Baker",2022-10-06,74,8
12003,"Baker",2022-10-07,9.5,9
12003,"Baker",2022-10-08,370.25,10
12003,"Baker",2022-10-09,2.5,11
12003,"Baker",2022-10-10,18.75,12
12003,"Baker",2022-10-11,8.25,13
12003,"Baker",2022-10-12,0.5,14
12005,"Bay",2022-09-25,28.5,-3
12005,"Bay",2022-09-26,194.75,-2
12005,"Bay",2022-09-27,262.75,-1
12005,"Bay",2022-09-28,766.25,0
12005,"Bay",2022-09-29,6.75,1
12005,"Bay",2022-09-30,434.75,2
12005,"Bay",2022-10-01,6,3
12005,"Bay",2022-10-02,232,4
12005,"Bay",2022-10-03,28,5
12005,"Bay",2022-10-04,738.75,6
12005,"Bay",2022-10-05,93.5,7
12005,"Bay",2022-10-06,608.75,8
12005,"Bay",2022-10-07,1746.5,9
12005,"Bay",2022-10-08,11.25,10
12005,"Bay",2022-10-09,466.75,11
12005,"Bay",2022-10-10,76,12
12005,"Bay",2022-10-11,37.75,13
12005,"Bay",2022-10-12,277.5,14
12007,"Bradford",2022-09-25,1.75,-3
12007,"Bradford",2022-09-26,17,-2
12007,"Bradford",2022-09-27,0,-1
12007,"Bradford",2022-09-28,130,0
12007,"Bradford",2022-09-29,2523.25,1
12007,"Bradford",2022-09-30,449.5,2
12007,"Bradford",2022-10-01,2.25,3
12007,"Bradford",2022-10-02,17.75,4
12007,"Bradford",2022-10-04,1.5,6
12007,"Bradford",2022-10-06,5,8
12007,"Bradford",2022-10-07,2,9
12007,"Bradford",2022-10-08,4,10
12007,"Bradford",2022-10-09,7.75,11
12007,"Bradford",2022-10-10,2.5,12
12007,"Bradford",2022-10-11,58,13
12007,"Bradford",2022-10-12,2,14
12009,"Brevard",2022-09-25,108.25,-3
12009,"Brevard",2022-09-26,507.25,-2
