"fips_code","county","date","total_outage","day_difference"
12001,"Alachua",2022-11-07,785.75,-3
12001,"Alachua",2022-11-08,260.5,-2
12001,"Alachua",2022-11-09,202,-1
12001,"Alachua",2022-11-10,52448,0
12001,"Alachua",2022-11-11,67705.5,1
12001,"Alachua",2022-11-12,79.75,2
12001,"Alachua",2022-11-13,623.25,3
12001,"Alachua",2022-11-14,1062.5,4
12001,"Alachua",2022-11-15,31.5,5
12001,"Alachua",2022-11-16,119,6
12001,"Alachua",2022-11-17,1545.5,7
12001,"Alachua",2022-11-18,227,8
12001,"Alachua",2022-11-19,318.5,9
12001,"Alachua",2022-11-20,33.25,10
12001,"Alachua",2022-11-21,289.25,11
12001,"Alachua",2022-11-22,1166.25,12
12001,"Alachua",2022-11-23,61.25,13
12001,"Alachua",2022-11-24,38,14
12003,"Baker",2022-11-07,7.75,-3
12003,"Baker",2022-11-08,0,-2
12003,"Baker",2022-11-09,0,-1
12003,"Baker",2022-11-10,576.75,0
12003,"Baker",2022-11-11,2257,1
12003,"Baker",2022-11-12,0,2
12003,"Baker",2022-11-13,5,3
12003,"Baker",2022-11-14,79.75,4
12003,"Baker",2022-11-15,0.75,5
12003,"Baker",2022-11-16,25.25,6
12003,"Baker",2022-11-17,2.5,7
12003,"Baker",2022-11-19,7.5,9
12003,"Baker",2022-11-21,0,11
12003,"Baker",2022-11-22,0.5,12
12003,"Baker",2022-11-23,6.25,13
12003,"Baker",2022-11-24,3.5,14
12005,"Bay",2022-11-07,241.75,-3
12005,"Bay",2022-11-08,90.5,-2
12005,"Bay",2022-11-09,175,-1
12005,"Bay",2022-11-10,131,0
12005,"Bay",2022-11-11,146,1
12005,"Bay",2022-11-12,1574.75,2
12005,"Bay",2022-11-13,12.25,3
12005,"Bay",2022-11-14,225.75,4
12005,"Bay",2022-11-15,679.5,5
12005,"Bay",2022-11-16,1350.75,6
12005,"Bay",2022-11-17,202.75,7
12005,"Bay",2022-11-18,25,8
12005,"Bay",2022-11-19,62.25,9
12005,"Bay",2022-11-20,35.5,10
12005,"Bay",2022-11-21,260.25,11
12005,"Bay",2022-11-22,79,12
12005,"Bay",2022-11-23,25,13
12005,"Bay",2022-11-24,44.5,14
12007,"Bradford",2022-11-07,0,-3
12007,"Bradford",2022-11-08,33,-2
12007,"Bradford",2022-11-09,0,-1
12007,"Bradford",2022-11-10,9621.75,0
12007,"Bradford",2022-11-11,4647,1
12007,"Bradford",2022-11-12,0.5,2
12007,"Bradford",2022-11-13,0,3
12007,"Bradford",2022-11-14,0.25,4
12007,"Bradford",2022-11-16,0,6
12007,"Bradford",2022-11-17,0,7
12007,"Bradford",2022-11-18,0,8
12007,"Bradford",2022-11-19,6,9
12007,"Bradford",2022-11-21,55.75,11
12007,"Bradford",2022-11-22,1.5,12
12007,"Bradford",2022-11-23,10,13
12007,"Bradford",2022-11-24,2.75,14
12009,"Brevard",2022-11-07,1392.5,-3
12009,"Brevard",2022-11-08,2179.75,-2
12009,"Brevard",2022-11-09,22935.25,-1
12009,"Brevard",2022-11-10,1254992.5,0
12009,"Brevard",2022-11-11,464714,1
12009,"Brevard",2022-11-12,8340.5,2
12009,"Brevard",2022-11-13,4560,3
12009,"Brevard",2022-11-14,4465,4
12009,"Brevard",2022-11-15,4560,5
12009,"Brevard",2022-11-16,4417.5,6
12009,"Brevard",2022-11-17,4116,7
12009,"Brevard",2022-11-18,2346.75,8
12009,"Brevard",2022-11-19,428.75,9
12009,"Brevard",2022-11-20,1401.75,10
12009,"Brevard",2022-11-21,2213.25,11
12009,"Brevard",2022-11-22,1054,12
12009,"Brevard",2022-11-23,5540.75,13
12009,"Brevard",2022-11-24,902.75,14
12011,"Broward",2022-11-07,6943.25,-3
12011,"Broward",2022-11-08,5559.25,-2
12011,"Broward",2022-11-09,9487.5,-1
12011,"Broward",2022-11-10,23875.5,0
12011,"Broward",2022-11-11,0,1
12011,"Broward",2022-11-12,0,2
12011,"Broward",2022-11-13,0,3
12011,"Broward",2022-11-14,0,4
12011,"Broward",2022-11-15,0,5
12011,"Broward",2022-11-16,0,6
12011,"Broward",2022-11-17,117.25,7
12011,"Broward",2022-11-18,2031.75,8
12011,"Broward",2022-11-19,1298.5,9
12011,"Broward",2022-11-20,1786,10
12011,"Broward",2022-11-21,8136,11
12011,"Broward",2022-11-22,2889.25,12
12011,"Broward",2022-11-23,2122.5,13
12011,"Broward",2022-11-24,3917,14
12013,"Calhoun",2022-11-07,0,-3
12013,"Calhoun",2022-11-08,0,-2
12013,"Calhoun",2022-11-09,154.75,-1
12013,"Calhoun",2022-11-10,111.75,0
12013,"Calhoun",2022-11-11,8.5,1
12013,"Calhoun",2022-11-12,0.5,2
12013,"Calhoun",2022-11-13,1,3
12013,"Calhoun",2022-11-14,0.5,4
12013,"Calhoun",2022-11-15,116.75,5
12013,"Calhoun",2022-11-16,0,6
12013,"Calhoun",2022-11-17,0,7
12013,"Calhoun",2022-11-18,0,8
12013,"Calhoun",2022-11-20,0,10
12013,"Calhoun",2022-11-21,0,11
12013,"Calhoun",2022-11-22,13.5,12
12013,"Calhoun",2022-11-23,6.75,13
12013,"Calhoun",2022-11-24,0,14
12015,"Charlotte",2022-11-07,679.75,-3
12015,"Charlotte",2022-11-08,486.5,-2
12015,"Charlotte",2022-11-09,530.5,-1
12015,"Charlotte",2022-11-10,8915,0
12015,"Charlotte",2022-11-11,180,1
12015,"Charlotte",2022-11-12,0,2
12015,"Charlotte",2022-11-13,0,3
12015,"Charlotte",2022-11-14,0,4
12015,"Charlotte",2022-11-15,0,5
12015,"Charlotte",2022-11-16,0,6
12015,"Charlotte",2022-11-17,113,7
12015,"Charlotte",2022-11-18,288.25,8
12015,"Charlotte",2022-11-19,147.75,9
12015,"Charlotte",2022-11-20,286.5,10
12015,"Charlotte",2022-11-21,527.75,11
12015,"Charlotte",2022-11-22,267.25,12
12015,"Charlotte",2022-11-23,2101,13
12015,"Charlotte",2022-11-24,1232.5,14
12017,"Citrus",2022-11-07,21.75,-3
12017,"Citrus",2022-11-08,480,-2
12017,"Citrus",2022-11-09,15.25,-1
12017,"Citrus",2022-11-10,8581.75,0
12017,"Citrus",2022-11-11,1175.5,1
12017,"Citrus",2022-11-12,78.5,2
12017,"Citrus",2022-11-13,23.5,3
12017,"Citrus",2022-11-14,85,4
12017,"Citrus",2022-11-15,9.75,5
