"fips_code","county","date","total_outage","day_difference"
12001,"Alachua",2020-09-13,3834.25,-3
12001,"Alachua",2020-09-14,81.75,-2
12001,"Alachua",2020-09-15,54.5,-1
12001,"Alachua",2020-09-16,340.75,0
12001,"Alachua",2020-09-17,1994.5,1
12001,"Alachua",2020-09-18,226.5,2
12001,"Alachua",2020-09-19,374.5,3
12001,"Alachua",2020-09-20,2041.5,4
12001,"Alachua",2020-09-21,172.25,5
12001,"Alachua",2020-09-22,224.75,6
12001,"Alachua",2020-09-23,49.75,7
12001,"Alachua",2020-09-24,54.5,8
12001,"Alachua",2020-09-25,179.75,9
12001,"Alachua",2020-09-26,220.25,10
12001,"Alachua",2020-09-27,385.5,11
12001,"Alachua",2020-09-28,351.75,12
12001,"Alachua",2020-09-29,2565.25,13
12001,"Alachua",2020-09-30,2991.25,14
12003,"Baker",2020-09-13,8.25,-3
12003,"Baker",2020-09-14,12.75,-2
12003,"Baker",2020-09-15,169,-1
12003,"Baker",2020-09-16,72.5,0
12003,"Baker",2020-09-17,28,1
12003,"Baker",2020-09-18,245.75,2
12003,"Baker",2020-09-19,112,3
12003,"Baker",2020-09-20,11.25,4
12003,"Baker",2020-09-21,68.25,5
12003,"Baker",2020-09-23,24,7
12003,"Baker",2020-09-25,87.25,9
12003,"Baker",2020-09-26,2.5,10
12003,"Baker",2020-09-27,53.5,11
12003,"Baker",2020-09-28,34,12
12003,"Baker",2020-09-29,282.5,13
12003,"Baker",2020-09-30,472.75,14
12005,"Bay",2020-09-13,506.75,-3
12005,"Bay",2020-09-14,439.5,-2
12005,"Bay",2020-09-15,3408,-1
12005,"Bay",2020-09-16,53158.75,0
12005,"Bay",2020-09-17,8659.75,1
12005,"Bay",2020-09-18,377.5,2
12005,"Bay",2020-09-19,299,3
12005,"Bay",2020-09-20,2685,4
12005,"Bay",2020-09-21,428.5,5
12005,"Bay",2020-09-22,134.25,6
12005,"Bay",2020-09-23,87.25,7
12005,"Bay",2020-09-24,237.75,8
12005,"Bay",2020-09-25,1392.75,9
12005,"Bay",2020-09-26,64.25,10
12005,"Bay",2020-09-27,24.25,11
12005,"Bay",2020-09-28,817.25,12
12005,"Bay",2020-09-29,110.5,13
12005,"Bay",2020-09-30,95,14
12007,"Bradford",2020-09-13,1.5,-3
12007,"Bradford",2020-09-14,16.5,-2
12007,"Bradford",2020-09-15,163.25,-1
12007,"Bradford",2020-09-16,5.75,0
12007,"Bradford",2020-09-17,172.5,1
12007,"Bradford",2020-09-18,44,2
12007,"Bradford",2020-09-19,23.75,3
12007,"Bradford",2020-09-21,176.25,5
12007,"Bradford",2020-09-22,8.5,6
12007,"Bradford",2020-09-23,2.25,7
12007,"Bradford",2020-09-24,7.75,8
12007,"Bradford",2020-09-25,9.25,9
12007,"Bradford",2020-09-26,0.75,10
12007,"Bradford",2020-09-27,15.75,11
12007,"Bradford",2020-09-28,79.5,12
12007,"Bradford",2020-09-29,161,13
12007,"Bradford",2020-09-30,243.5,14
12009,"Brevard",2020-09-13,2493.5,-3
12009,"Brevard",2020-09-14,4074,-2
12009,"Brevard",2020-09-15,896.25,-1
12009,"Brevard",2020-09-16,1420.25,0
12009,"Brevard",2020-09-17,1639.5,1
12009,"Brevard",2020-09-18,583,2
12009,"Brevard",2020-09-19,1037.75,3
12009,"Brevard",2020-09-20,4108.25,4
12009,"Brevard",2020-09-21,5942.75,5
12009,"Brevard",2020-09-22,793.5,6
12009,"Brevard",2020-09-23,143.5,7
12009,"Brevard",2020-09-24,632,8
12009,"Brevard",2020-09-25,4702.75,9
12009,"Brevard",2020-09-26,299.5,10
12009,"Brevard",2020-09-27,506.5,11
12009,"Brevard",2020-09-28,2827.75,12
12009,"Brevard",2020-09-29,2062.75,13
12009,"Brevard",2020-09-30,1514,14
