"county","Mean_NDVI","Min_NDVI","date","mean_mean_ndvi","mean_min_ndvi"
"Alachua",0.600941379310345,0.258,2023-08-27,0.395249668713481,0.13745
"Baker",0.740398113207547,0.491,2023-08-27,0.379614389704169,0.167794444444444
"Bay",0.210712328767123,-0.0111,2023-08-27,0.329934896117458,0.0576777777777778
"Bradford",0.465975862068966,0.1876,2023-08-27,0.419421730523627,0.205244444444444
"Brevard",0.415135051546392,-5e-04,2023-08-27,0.378616605253158,0.0488222222222222
"Broward",0.221853225806452,0.0284,2023-08-27,0.28846929009161,0.0206277777777778
"Calhoun",0.43097962962963,0.0034,2023-08-27,0.315766872427984,0.0771722222222222
"Charlotte",0.510031578947368,0.081,2023-08-27,0.337011114834115,0.06055
"Citrus",0.656550877192982,0.4176,2023-08-27,0.327953667572154,0.115827777777778
"Clay",0.425868333333333,0.1748,2023-08-27,0.377304459978904,0.16605
"Collier",0.356096739130435,0.027,2023-08-27,0.339665609818096,0.0279666666666667
"Columbia",0.7857375,0.656,2023-08-27,0.411538333333333,0.177277777777778
"DeSoto",0.351221666666667,0.0704,2023-08-27,0.392867592592593,0.134138888888889
"Dixie",0.521088405797101,0.1851,2023-08-27,0.407965318370192,0.127083333333333
"Duval",0.498658333333333,0.1999,2023-08-27,0.323905969864135,0.0949111111111111
"Escambia",0.0902075757575758,-0.0205,2023-08-27,0.403095376911415,0.0701166666666667
"Flagler",0.475591666666667,0.1421,2023-08-27,0.428747739512472,0.136716666666667
"Franklin",0.568414285714286,0.1675,2023-08-27,0.361090400217355,0.0596833333333333
"Gadsden",0.610107843137255,0.1378,2023-08-27,0.352610348583878,0.150033333333333
"Gilchrist",0.695188571428571,0.4432,2023-08-27,0.408661904761905,0.215844444444444
"Glades",0.628623529411765,0.0648,2023-08-27,0.43424884252926,0.119994444444444
"Gulf",0.4293,0.0559,2023-08-27,0.288713911436029,0.0464166666666667
"Hamilton",0.730529166666667,0.5408,2023-08-27,0.461539255811663,0.204805555555556
"Hardee",0.287538983050847,-0.0094,2023-08-27,0.378224664155681,0.127255555555556
"Hendry",0.414563366336634,0.0919,2023-08-27,0.42147952530253,0.0944833333333333
"Hernando",0.645928571428571,0.2598,2023-08-27,0.334292566724834,0.0737333333333333
"Highlands",0.30079793814433,-0.0087,2023-08-27,0.353532426038196,0.0969777777777778
"Hillsborough",0.4713,0.1634,2023-08-27,0.328391153588869,0.05305
"Holmes",0.243281632653061,9e-04,2023-08-27,0.419251473922902,0.152422222222222
"Indian River",0.446990909090909,0.0355,2023-08-27,0.385090283877422,0.0918833333333333
"Jackson",0.444698969072165,0.0142,2023-08-27,0.40957972976132,0.0987944444444444
"Jefferson",0.720876666666667,0.43,2023-08-27,0.475676018518518,0.186127777777778
"Lafayette",0.650103921568628,0.4003,2023-08-27,0.405170479302832,0.17745
"Lake",0.402384375,0.0582,2023-08-27,0.330610219008241,0.0753
"Lee",0.356161538461538,0.0205,2023-08-27,0.290393833415025,0.0293944444444444
"Leon",0.592761764705882,0.2335,2023-08-27,0.384927185753528,0.117105555555556
"Levy",0.673814414414414,0.1244,2023-08-27,0.386457595253281,0.0659944444444444
"Liberty",0.36004,0.0635,2023-08-27,0.325302715331611,0.0716
"Madison",0.678980555555556,0.3968,2023-08-27,0.480507484567901,0.192355555555556
"Manatee",0.362413043478261,0.0557,2023-08-27,0.288416326656221,0.0352388888888889
"Marion",0.540503125,0.1977,2023-08-27,0.341372920070604,0.0778611111111111
"Martin",0.593083636363636,0.3048,2023-08-27,0.364403700226362,0.0752777777777778
"Miami-Dade",0.208571428571429,-0.0125,2023-08-27,0.254633360720549,0.00262777777777778
"Monroe",0.329370512820513,0.0315,2023-08-27,0.316891111257789,0.00232777777777778
"Nassau",0.726816949152542,0.3888,2023-08-27,0.372318507566668,0.114561111111111
"Okaloosa",0.371958241758242,0.061,2023-08-27,0.343037894323743,0.0714111111111111
"Okeechobee",0.638332394366197,0.202,2023-08-27,0.381782448704573,0.0950277777777778
"Orange",0.202202272727273,0.0029,2023-08-27,0.28072450469474,0.0745333333333333
"Osceola",0.484211510791367,0.0429,2023-08-27,0.378087592463008,0.0640833333333333
"Palm Beach",0.508037569060773,0.0615,2023-08-27,0.362796650999602,0.0260722222222222
"Pasco",0.606075,0.3012,2023-08-27,0.351846339381804,0.0883166666666667
"Pinellas",0.5289,0.3186,2023-08-27,0.286910623659754,0.0870944444444444
"Polk",0.286580571428571,-0.0023,2023-08-27,0.366522196979597,0.0640111111111111
"Putnam",0.501267532467533,0.2488,2023-08-27,0.386844821276415,0.1206
"Santa Rosa",0.348182105263158,0.0038,2023-08-27,0.362781913201609,0.0757444444444444
"Sarasota",0.470135714285714,0.1512,2023-08-27,0.321286085807906,0.0598777777777778
"Seminole",0.215893939393939,0.0328,2023-08-27,0.318663462179512,0.0958722222222222
"St. Johns",0.467706779661017,0.1697,2023-08-27,0.398991052470165,0.108316666666667
"St. Lucie",0.632354545454546,0.2356,2023-08-27,0.381329961723895,0.0993944444444444
"Sumter",0.566910714285714,0.2951,2023-08-27,0.394255158730159,0.157838888888889
"Suwannee",0.741772463768116,0.5381,2023-08-27,0.416168276972625,0.187855555555556
"Taylor",0.579117757009346,0.1434,2023-08-27,0.448055342510412,0.103783333333333
"Union",0.741008333333333,0.5211,2023-08-27,0.433415740740741,0.251333333333333
"Volusia",0.407642307692308,0.0479,2023-08-27,0.371264643528373,0.0724444444444444
"Wakulla",0.52749298245614,0.1753,2023-08-27,0.424715943741931,0.113488888888889
"Walton",0.289608490566038,-0.0111,2023-08-27,0.330130618957371,0.0479666666666667
"Washington",0.136276666666667,-0.0122,2023-08-27,0.322904444444444,0.0633166666666667
"Alachua",0.41921797752809,0.038,2023-08-28,0.395249668713481,0.13745
"Baker",0.224164814814815,-0.0157,2023-08-28,0.379614389704169,0.167794444444444
"Bay",0.343272602739726,0.0177,2023-08-28,0.329934896117458,0.0576777777777778
"Bradford",0.621513333333333,0.0901,2023-08-28,0.419421730523627,0.205244444444444
"Brevard",0.457074468085106,-0.0196,2023-08-28,0.378616605253158,0.0488222222222222
"Broward",0.0489813008130081,-0.0337,2023-08-28,0.28846929009161,0.0206277777777778
"Calhoun",0.356027777777778,0.016,2023-08-28,0.315766872427984,0.0771722222222222
"Charlotte",-0.0196864864864865,-0.0314,2023-08-28,0.337011114834115,0.06055
"Citrus",0.12942,-0.0053,2023-08-28,0.327953667572154,0.115827777777778
"Clay",0.624062903225806,0.3774,2023-08-28,0.377304459978904,0.16605
"Collier",0.213552150537634,-0.0223,2023-08-28,0.339665609818096,0.0279666666666667
"Columbia",0.1732975,0.0132,2023-08-28,0.411538333333333,0.177277777777778
"DeSoto",-0.0235183333333333,-0.0315,2023-08-28,0.392867592592593,0.134138888888889
"Dixie",0.437431884057971,0.0296,2023-08-28,0.407965318370192,0.127083333333333
"Duval",0.424020895522388,0.0331,2023-08-28,0.323905969864135,0.0949111111111111
"Escambia",0.530015873015873,0.0523,2023-08-28,0.403095376911415,0.0701166666666667
"Flagler",0.5145125,0.0125,2023-08-28,0.428747739512472,0.136716666666667
"Franklin",0.198504,0.0166,2023-08-28,0.361090400217355,0.0596833333333333
"Gadsden",0.072278431372549,-0.0166,2023-08-28,0.352610348583878,0.150033333333333
"Gilchrist",0.43118,0.1216,2023-08-28,0.408661904761905,0.215844444444444
"Glades",0.0845211764705882,-0.0284,2023-08-28,0.43424884252926,0.119994444444444
