"fips_code","county","date","total_outage","prev_3day_avg_outage"
12001,"Alachua",2022-09-22,236.75,NA
12001,"Alachua",2022-09-23,242.5,236.75
12001,"Alachua",2022-09-24,168.75,239.625
12001,"Alachua",2022-09-25,61.25,216
12001,"Alachua",2022-09-26,81,157.5
12001,"Alachua",2022-09-27,153,103.666666666667
12001,"Alachua",2022-09-28,1459.25,98.4166666666667
12001,"Alachua",2022-09-29,105062,564.416666666667
12001,"Alachua",2022-09-30,12626.75,35558.0833333333
12001,"Alachua",2022-10-01,304.5,39716
12001,"Alachua",2022-10-02,119.75,39331.0833333333
12001,"Alachua",2022-10-03,280,4350.33333333333
12001,"Alachua",2022-10-04,464.5,234.75
12001,"Alachua",2022-10-05,42.5,288.083333333333
12001,"Alachua",2022-10-06,132.5,262.333333333333
12001,"Alachua",2022-10-07,348,213.166666666667
12001,"Alachua",2022-10-08,96.75,174.333333333333
12001,"Alachua",2022-10-09,1814.5,192.416666666667
12001,"Alachua",2022-10-10,131.75,753.083333333333
12001,"Alachua",2022-10-11,1781,681
12001,"Alachua",2022-10-12,142.75,1242.41666666667
12003,"Baker",2022-09-22,11.5,NA
12003,"Baker",2022-09-23,21.75,11.5
12003,"Baker",2022-09-24,1,16.625
12003,"Baker",2022-09-25,23.25,11.4166666666667
12003,"Baker",2022-09-26,0.5,15.3333333333333
12003,"Baker",2022-09-27,2.5,8.25
12003,"Baker",2022-09-28,465.75,8.75
12003,"Baker",2022-09-29,9311,156.25
12003,"Baker",2022-09-30,3340.75,3259.75
12003,"Baker",2022-10-01,40.25,4372.5
12003,"Baker",2022-10-02,106,4230.66666666667
12003,"Baker",2022-10-03,2.75,1162.33333333333
12003,"Baker",2022-10-04,43,49.6666666666667
12003,"Baker",2022-10-05,142.75,50.5833333333333
12003,"Baker",2022-10-06,74,62.8333333333333
12003,"Baker",2022-10-07,9.5,86.5833333333333
12003,"Baker",2022-10-08,370.25,75.4166666666667
12003,"Baker",2022-10-09,2.5,151.25
12003,"Baker",2022-10-10,18.75,127.416666666667
12003,"Baker",2022-10-11,8.25,130.5
12003,"Baker",2022-10-12,0.5,9.83333333333333
12005,"Bay",2022-09-22,33,NA
12005,"Bay",2022-09-23,53.25,33
12005,"Bay",2022-09-24,13044,43.125
12005,"Bay",2022-09-25,28.5,4376.75
12005,"Bay",2022-09-26,194.75,4375.25
12005,"Bay",2022-09-27,262.75,4422.41666666667
12005,"Bay",2022-09-28,766.25,162
12005,"Bay",2022-09-29,6.75,407.916666666667
12005,"Bay",2022-09-30,434.75,345.25
12005,"Bay",2022-10-01,6,402.583333333333
12005,"Bay",2022-10-02,232,149.166666666667
12005,"Bay",2022-10-03,28,224.25
12005,"Bay",2022-10-04,738.75,88.6666666666667
12005,"Bay",2022-10-05,93.5,332.916666666667
12005,"Bay",2022-10-06,608.75,286.75
12005,"Bay",2022-10-07,1746.5,480.333333333333
12005,"Bay",2022-10-08,11.25,816.25
12005,"Bay",2022-10-09,466.75,788.833333333333
12005,"Bay",2022-10-10,76,741.5
12005,"Bay",2022-10-11,37.75,184.666666666667
12005,"Bay",2022-10-12,277.5,193.5
12007,"Bradford",2022-09-22,1.75,NA
12007,"Bradford",2022-09-23,4.75,1.75
12007,"Bradford",2022-09-24,450,3.25
12007,"Bradford",2022-09-25,1.75,152.166666666667
12007,"Bradford",2022-09-26,17,152.166666666667
12007,"Bradford",2022-09-27,0,156.25
12007,"Bradford",2022-09-28,130,6.25
12007,"Bradford",2022-09-29,2523.25,49
12007,"Bradford",2022-09-30,449.5,884.416666666667
12007,"Bradford",2022-10-01,2.25,1034.25
12007,"Bradford",2022-10-02,17.75,991.666666666667
12007,"Bradford",2022-10-04,1.5,156.5
12007,"Bradford",2022-10-06,5,7.16666666666667
12007,"Bradford",2022-10-07,2,8.08333333333333
12007,"Bradford",2022-10-08,4,2.83333333333333
12007,"Bradford",2022-10-09,7.75,3.66666666666667
12007,"Bradford",2022-10-10,2.5,4.58333333333333
12007,"Bradford",2022-10-11,58,4.75
12007,"Bradford",2022-10-12,2,22.75
12009,"Brevard",2022-09-22,1774.5,NA
12009,"Brevard",2022-09-23,1934.25,1774.5
12009,"Brevard",2022-09-24,1896.25,1854.375
12009,"Brevard",2022-09-25,108.25,1868.33333333333
