"fips_code","county","date","total_outage","prev_3day_avg_outage"
12001,"Alachua",2023-08-24,48.25,NA
12001,"Alachua",2023-08-25,221.25,48.25
12001,"Alachua",2023-08-26,490,134.75
12001,"Alachua",2023-08-27,605.25,253.166666666667
12001,"Alachua",2023-08-28,428.25,438.833333333333
12001,"Alachua",2023-08-29,568.75,507.833333333333
12001,"Alachua",2023-08-30,112240.25,534.083333333333
12001,"Alachua",2023-08-31,144384,37745.75
12001,"Alachua",2023-09-01,24105,85731
12001,"Alachua",2023-09-02,3587.75,93576.4166666667
12001,"Alachua",2023-09-03,4548.25,57358.9166666667
12001,"Alachua",2023-09-04,185.25,10747
12001,"Alachua",2023-09-05,91.5,2773.75
12001,"Alachua",2023-09-06,110.5,1608.33333333333
12001,"Alachua",2023-09-07,1262.75,129.083333333333
12001,"Alachua",2023-09-08,585.5,488.25
12001,"Alachua",2023-09-09,24.5,652.916666666667
12001,"Alachua",2023-09-10,1339.5,624.25
12001,"Alachua",2023-09-11,118,649.833333333333
12001,"Alachua",2023-09-12,229.25,494
12001,"Alachua",2023-09-13,24.5,562.25
12003,"Baker",2023-08-25,9,NA
12003,"Baker",2023-08-26,48.25,9
12003,"Baker",2023-08-27,14,28.625
12003,"Baker",2023-08-28,0,23.75
12003,"Baker",2023-08-29,14.25,20.75
12003,"Baker",2023-08-30,37877.5,9.41666666666667
12003,"Baker",2023-08-31,33935.75,12630.5833333333
12003,"Baker",2023-09-01,3971,23942.5
12003,"Baker",2023-09-02,19.75,25261.4166666667
12003,"Baker",2023-09-03,4,12642.1666666667
12003,"Baker",2023-09-04,2.75,1331.58333333333
12003,"Baker",2023-09-05,2,8.83333333333333
12003,"Baker",2023-09-06,101.5,2.91666666666667
12003,"Baker",2023-09-07,10.5,35.4166666666667
12003,"Baker",2023-09-08,10.75,38
12003,"Baker",2023-09-09,14,40.9166666666667
12003,"Baker",2023-09-10,37.5,11.75
12003,"Baker",2023-09-11,92.5,20.75
12003,"Baker",2023-09-12,0.75,48
12003,"Baker",2023-09-13,213.75,43.5833333333333
12005,"Bay",2023-08-24,4192.5,NA
12005,"Bay",2023-08-25,305,4192.5
12005,"Bay",2023-08-26,17.5,2248.75
12005,"Bay",2023-08-27,10878,1505
12005,"Bay",2023-08-28,176.75,3733.5
12005,"Bay",2023-08-29,468.75,3690.75
12005,"Bay",2023-08-30,96.75,3841.16666666667
12005,"Bay",2023-08-31,216,247.416666666667
12005,"Bay",2023-09-01,2928,260.5
12005,"Bay",2023-09-02,83.5,1080.25
12005,"Bay",2023-09-03,122,1075.83333333333
12005,"Bay",2023-09-04,1304.5,1044.5
12005,"Bay",2023-09-05,283.25,503.333333333333
