"fips_code","county","date","total_outage","prev_3day_avg_outage"
12001,"Alachua",2022-11-04,93,NA
12001,"Alachua",2022-11-05,23.5,93
12001,"Alachua",2022-11-06,215.75,58.25
12001,"Alachua",2022-11-07,785.75,110.75
12001,"Alachua",2022-11-08,260.5,341.666666666667
12001,"Alachua",2022-11-09,202,420.666666666667
12001,"Alachua",2022-11-10,52448,416.083333333333
12001,"Alachua",2022-11-11,67705.5,17636.8333333333
12001,"Alachua",2022-11-12,79.75,40118.5
12001,"Alachua",2022-11-13,623.25,40077.75
12001,"Alachua",2022-11-14,1062.5,22802.8333333333
12001,"Alachua",2022-11-15,31.5,588.5
12001,"Alachua",2022-11-16,119,572.416666666667
12001,"Alachua",2022-11-17,1545.5,404.333333333333
12001,"Alachua",2022-11-18,227,565.333333333333
12001,"Alachua",2022-11-19,318.5,630.5
12001,"Alachua",2022-11-20,33.25,697
12001,"Alachua",2022-11-21,289.25,192.916666666667
12001,"Alachua",2022-11-22,1166.25,213.666666666667
12001,"Alachua",2022-11-23,61.25,496.25
12001,"Alachua",2022-11-24,38,505.583333333333
12003,"Baker",2022-11-04,1.25,NA
12003,"Baker",2022-11-05,4,1.25
12003,"Baker",2022-11-06,108.25,2.625
12003,"Baker",2022-11-07,7.75,37.8333333333333
12003,"Baker",2022-11-08,0,40
12003,"Baker",2022-11-09,0,38.6666666666667
12003,"Baker",2022-11-10,576.75,2.58333333333333
12003,"Baker",2022-11-11,2257,192.25
12003,"Baker",2022-11-12,0,944.583333333333
12003,"Baker",2022-11-13,5,944.583333333333
12003,"Baker",2022-11-14,79.75,754
12003,"Baker",2022-11-15,0.75,28.25
12003,"Baker",2022-11-16,25.25,28.5
12003,"Baker",2022-11-17,2.5,35.25
12003,"Baker",2022-11-19,7.5,9.5
12003,"Baker",2022-11-21,0,11.75
12003,"Baker",2022-11-22,0.5,3.33333333333333
12003,"Baker",2022-11-23,6.25,2.66666666666667
12003,"Baker",2022-11-24,3.5,2.25
12005,"Bay",2022-11-04,214.75,NA
12005,"Bay",2022-11-05,234.75,214.75
12005,"Bay",2022-11-06,11.75,224.75
12005,"Bay",2022-11-07,241.75,153.75
12005,"Bay",2022-11-08,90.5,162.75
12005,"Bay",2022-11-09,175,114.666666666667
12005,"Bay",2022-11-10,131,169.083333333333
12005,"Bay",2022-11-11,146,132.166666666667
12005,"Bay",2022-11-12,1574.75,150.666666666667
12005,"Bay",2022-11-13,12.25,617.25
12005,"Bay",2022-11-14,225.75,577.666666666667
12005,"Bay",2022-11-15,679.5,604.25
12005,"Bay",2022-11-16,1350.75,305.833333333333
12005,"Bay",2022-11-17,202.75,752
12005,"Bay",2022-11-18,25,744.333333333333
12005,"Bay",2022-11-19,62.25,526.166666666667
12005,"Bay",2022-11-20,35.5,96.6666666666667
12005,"Bay",2022-11-21,260.25,40.9166666666667
12005,"Bay",2022-11-22,79,119.333333333333
12005,"Bay",2022-11-23,25,124.916666666667
12005,"Bay",2022-11-24,44.5,121.416666666667
