"fips_code","county","date","total_outage","prev_3day_avg_outage"
12001,"Alachua",2020-09-10,1021.75,NA
12001,"Alachua",2020-09-11,946,1021.75
12001,"Alachua",2020-09-12,675,983.875
12001,"Alachua",2020-09-13,3834.25,880.916666666667
12001,"Alachua",2020-09-14,81.75,1818.41666666667
12001,"Alachua",2020-09-15,54.5,1530.33333333333
12001,"Alachua",2020-09-16,340.75,1323.5
12001,"Alachua",2020-09-17,1994.5,159
12001,"Alachua",2020-09-18,226.5,796.583333333333
12001,"Alachua",2020-09-19,374.5,853.916666666667
12001,"Alachua",2020-09-20,2041.5,865.166666666667
12001,"Alachua",2020-09-21,172.25,880.833333333333
12001,"Alachua",2020-09-22,224.75,862.75
12001,"Alachua",2020-09-23,49.75,812.833333333333
12001,"Alachua",2020-09-24,54.5,148.916666666667
12001,"Alachua",2020-09-25,179.75,109.666666666667
12001,"Alachua",2020-09-26,220.25,94.6666666666667
12001,"Alachua",2020-09-27,385.5,151.5
12001,"Alachua",2020-09-28,351.75,261.833333333333
12001,"Alachua",2020-09-29,2565.25,319.166666666667
12001,"Alachua",2020-09-30,2991.25,1100.83333333333
12003,"Baker",2020-09-10,16,NA
12003,"Baker",2020-09-11,154.25,16
12003,"Baker",2020-09-12,764.25,85.125
12003,"Baker",2020-09-13,8.25,311.5
12003,"Baker",2020-09-14,12.75,308.916666666667
12003,"Baker",2020-09-15,169,261.75
12003,"Baker",2020-09-16,72.5,63.3333333333333
12003,"Baker",2020-09-17,28,84.75
12003,"Baker",2020-09-18,245.75,89.8333333333333
12003,"Baker",2020-09-19,112,115.416666666667
12003,"Baker",2020-09-20,11.25,128.583333333333
12003,"Baker",2020-09-21,68.25,123
12003,"Baker",2020-09-22,0,63.8333333333333
12003,"Baker",2020-09-23,24,26.5
12003,"Baker",2020-09-24,0,30.75
12003,"Baker",2020-09-25,87.25,8
12003,"Baker",2020-09-26,2.5,37.0833333333333
12003,"Baker",2020-09-27,53.5,29.9166666666667
12003,"Baker",2020-09-28,34,47.75
12003,"Baker",2020-09-29,282.5,30
12003,"Baker",2020-09-30,472.75,123.333333333333
12005,"Bay",2020-09-10,863,NA
12005,"Bay",2020-09-11,164,863
12005,"Bay",2020-09-12,1531.75,513.5
12005,"Bay",2020-09-13,506.75,852.916666666667
12005,"Bay",2020-09-14,439.5,734.166666666667
12005,"Bay",2020-09-15,3408,826
12005,"Bay",2020-09-16,53158.75,1451.41666666667
12005,"Bay",2020-09-17,8659.75,19002.0833333333
12005,"Bay",2020-09-18,377.5,21742.1666666667
12005,"Bay",2020-09-19,299,20732
12005,"Bay",2020-09-20,2685,3112.08333333333
12005,"Bay",2020-09-21,428.5,1120.5
12005,"Bay",2020-09-22,134.25,1137.5
12005,"Bay",2020-09-23,87.25,1082.58333333333
12005,"Bay",2020-09-24,237.75,216.666666666667
12005,"Bay",2020-09-25,1392.75,153.083333333333
12005,"Bay",2020-09-26,64.25,572.583333333333
12005,"Bay",2020-09-27,24.25,564.916666666667
12005,"Bay",2020-09-28,817.25,493.75
12005,"Bay",2020-09-29,110.5,301.916666666667
12005,"Bay",2020-09-30,95,317.333333333333
12007,"Bradford",2020-09-10,128.25,NA
12007,"Bradford",2020-09-11,6.75,128.25
12007,"Bradford",2020-09-12,377.25,67.5
12007,"Bradford",2020-09-13,1.5,170.75
12007,"Bradford",2020-09-14,16.5,128.5
12007,"Bradford",2020-09-15,163.25,131.75
12007,"Bradford",2020-09-16,5.75,60.4166666666667
12007,"Bradford",2020-09-17,172.5,61.8333333333333
12007,"Bradford",2020-09-18,44,113.833333333333
12007,"Bradford",2020-09-19,23.75,74.0833333333333
12007,"Bradford",2020-09-20,0,80.0833333333333
12007,"Bradford",2020-09-21,176.25,22.5833333333333
12007,"Bradford",2020-09-22,8.5,66.6666666666667
12007,"Bradford",2020-09-23,2.25,61.5833333333333
12007,"Bradford",2020-09-24,7.75,62.3333333333333
12007,"Bradford",2020-09-25,9.25,6.16666666666667
12007,"Bradford",2020-09-26,0.75,6.41666666666667
12007,"Bradford",2020-09-27,15.75,5.91666666666667
12007,"Bradford",2020-09-28,79.5,8.58333333333333
12007,"Bradford",2020-09-29,161,32
12007,"Bradford",2020-09-30,243.5,85.4166666666667
12009,"Brevard",2020-09-10,558.5,NA
12009,"Brevard",2020-09-11,759.25,558.5
12009,"Brevard",2020-09-12,4391.25,658.875
12009,"Brevard",2020-09-13,2493.5,1903
12009,"Brevard",2020-09-14,4074,2548
12009,"Brevard",2020-09-15,896.25,3652.91666666667
12009,"Brevard",2020-09-16,1420.25,2487.91666666667
12009,"Brevard",2020-09-17,1639.5,2130.16666666667
12009,"Brevard",2020-09-18,583,1318.66666666667
12009,"Brevard",2020-09-19,1037.75,1214.25
12009,"Brevard",2020-09-20,4108.25,1086.75
12009,"Brevard",2020-09-21,5942.75,1909.66666666667
12009,"Brevard",2020-09-22,793.5,3696.25
12009,"Brevard",2020-09-23,143.5,3614.83333333333
