"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua",2022-09-24,168.75,NA
12001,"Alachua",2022-09-25,61.25,168.75
12001,"Alachua",2022-09-26,81,61.25
12001,"Alachua",2022-09-27,153,81
12001,"Alachua",2022-09-28,1459.25,153
12001,"Alachua",2022-09-29,105062,1459.25
12001,"Alachua",2022-09-30,12626.75,105062
12001,"Alachua",2022-10-01,304.5,12626.75
12001,"Alachua",2022-10-02,119.75,304.5
12001,"Alachua",2022-10-03,280,119.75
12001,"Alachua",2022-10-04,464.5,280
12001,"Alachua",2022-10-05,42.5,464.5
12001,"Alachua",2022-10-06,132.5,42.5
12001,"Alachua",2022-10-07,348,132.5
12001,"Alachua",2022-10-08,96.75,348
12001,"Alachua",2022-10-09,1814.5,96.75
12001,"Alachua",2022-10-10,131.75,1814.5
12001,"Alachua",2022-10-11,1781,131.75
12001,"Alachua",2022-10-12,142.75,1781
12003,"Baker",2022-09-24,1,NA
12003,"Baker",2022-09-25,23.25,1
12003,"Baker",2022-09-26,0.5,23.25
12003,"Baker",2022-09-27,2.5,0.5
12003,"Baker",2022-09-28,465.75,2.5
12003,"Baker",2022-09-29,9311,465.75
12003,"Baker",2022-09-30,3340.75,9311
12003,"Baker",2022-10-01,40.25,3340.75
12003,"Baker",2022-10-02,106,40.25
12003,"Baker",2022-10-03,2.75,106
12003,"Baker",2022-10-04,43,2.75
12003,"Baker",2022-10-05,142.75,43
12003,"Baker",2022-10-06,74,142.75
12003,"Baker",2022-10-07,9.5,74
12003,"Baker",2022-10-08,370.25,9.5
12003,"Baker",2022-10-09,2.5,370.25
12003,"Baker",2022-10-10,18.75,2.5
12003,"Baker",2022-10-11,8.25,18.75
12003,"Baker",2022-10-12,0.5,8.25
12005,"Bay",2022-09-24,13044,NA
12005,"Bay",2022-09-25,28.5,13044
12005,"Bay",2022-09-26,194.75,28.5
12005,"Bay",2022-09-27,262.75,194.75
12005,"Bay",2022-09-28,766.25,262.75
12005,"Bay",2022-09-29,6.75,766.25
12005,"Bay",2022-09-30,434.75,6.75
12005,"Bay",2022-10-01,6,434.75
12005,"Bay",2022-10-02,232,6
12005,"Bay",2022-10-03,28,232
12005,"Bay",2022-10-04,738.75,28
12005,"Bay",2022-10-05,93.5,738.75
12005,"Bay",2022-10-06,608.75,93.5
12005,"Bay",2022-10-07,1746.5,608.75
12005,"Bay",2022-10-08,11.25,1746.5
12005,"Bay",2022-10-09,466.75,11.25
12005,"Bay",2022-10-10,76,466.75
12005,"Bay",2022-10-11,37.75,76
12005,"Bay",2022-10-12,277.5,37.75
12007,"Bradford",2022-09-24,450,NA
12007,"Bradford",2022-09-25,1.75,450
12007,"Bradford",2022-09-26,17,1.75
12007,"Bradford",2022-09-27,0,17
12007,"Bradford",2022-09-28,130,0
12007,"Bradford",2022-09-29,2523.25,130
12007,"Bradford",2022-09-30,449.5,2523.25
12007,"Bradford",2022-10-01,2.25,449.5
12007,"Bradford",2022-10-02,17.75,2.25
12007,"Bradford",2022-10-04,1.5,17.75
12007,"Bradford",2022-10-06,5,1.5
12007,"Bradford",2022-10-07,2,5
12007,"Bradford",2022-10-08,4,2
12007,"Bradford",2022-10-09,7.75,4
12007,"Bradford",2022-10-10,2.5,7.75
12007,"Bradford",2022-10-11,58,2.5
12007,"Bradford",2022-10-12,2,58
12009,"Brevard",2022-09-24,1896.25,NA
12009,"Brevard",2022-09-25,108.25,1896.25
12009,"Brevard",2022-09-26,507.25,108.25
12009,"Brevard",2022-09-27,360.75,507.25
12009,"Brevard",2022-09-28,48920.25,360.75
12009,"Brevard",2022-09-29,1119944.5,48920.25
12009,"Brevard",2022-09-30,1366076.5,1119944.5
12009,"Brevard",2022-10-01,585238,1366076.5
12009,"Brevard",2022-10-02,54432.5,585238
12009,"Brevard",2022-10-03,17242.75,54432.5
12009,"Brevard",2022-10-04,5545.5,17242.75
12009,"Brevard",2022-10-05,5759,5545.5
12009,"Brevard",2022-10-06,3541.75,5759
12009,"Brevard",2022-10-07,2465,3541.75
12009,"Brevard",2022-10-08,2255.5,2465
12009,"Brevard",2022-10-09,1482.5,2255.5
12009,"Brevard",2022-10-10,4013.25,1482.5
12009,"Brevard",2022-10-11,4823,4013.25
12009,"Brevard",2022-10-12,3186.5,4823
12011,"Broward",2022-09-24,1944.5,NA
12011,"Broward",2022-09-25,2696.25,1944.5
12011,"Broward",2022-09-26,5695.75,2696.25
12011,"Broward",2022-09-27,5286,5695.75
12011,"Broward",2022-09-28,206393.75,5286
12011,"Broward",2022-09-29,89103,206393.75
12011,"Broward",2022-09-30,8265.5,89103
12011,"Broward",2022-10-01,4909.25,8265.5
12011,"Broward",2022-10-02,1422.25,4909.25
12011,"Broward",2022-10-03,1963.5,1422.25
12011,"Broward",2022-10-04,4027.25,1963.5
12011,"Broward",2022-10-05,4820.5,4027.25
12011,"Broward",2022-10-06,4611.25,4820.5
12011,"Broward",2022-10-07,3866.5,4611.25
12011,"Broward",2022-10-08,2850.75,3866.5
12011,"Broward",2022-10-09,6396.75,2850.75
12011,"Broward",2022-10-10,9387,6396.75
12011,"Broward",2022-10-11,4666.75,9387
12011,"Broward",2022-10-12,2132.25,4666.75
12013,"Calhoun",2022-09-24,0,NA
12013,"Calhoun",2022-09-25,3,0
12013,"Calhoun",2022-09-26,0.5,3
12013,"Calhoun",2022-09-27,0,0.5
12013,"Calhoun",2022-09-28,2.75,0
12013,"Calhoun",2022-09-29,1,2.75
12013,"Calhoun",2022-09-30,0,1
12013,"Calhoun",2022-10-01,0,0
12013,"Calhoun",2022-10-02,0,0
12013,"Calhoun",2022-10-03,0,0
12013,"Calhoun",2022-10-04,1,0
12013,"Calhoun",2022-10-05,0,1
12013,"Calhoun",2022-10-06,0,0
12013,"Calhoun",2022-10-07,0,0
12013,"Calhoun",2022-10-08,0,0
12013,"Calhoun",2022-10-09,0,0
12013,"Calhoun",2022-10-10,0.5,0
12013,"Calhoun",2022-10-11,0,0.5
12013,"Calhoun",2022-10-12,0,0
12015,"Charlotte",2022-09-24,48.5,NA
12015,"Charlotte",2022-09-25,75.5,48.5
12015,"Charlotte",2022-09-26,546,75.5
12015,"Charlotte",2022-09-27,414.75,546
12015,"Charlotte",2022-09-28,767366.25,414.75
12015,"Charlotte",2022-09-29,2630697,767366.25
12015,"Charlotte",2022-09-30,2585900,2630697
12015,"Charlotte",2022-10-01,2320858.75,2585900
12015,"Charlotte",2022-10-02,1881522.25,2320858.75
12015,"Charlotte",2022-10-03,1786008,1881522.25
12015,"Charlotte",2022-10-04,1745694.5,1786008
12015,"Charlotte",2022-10-05,1458499.5,1745694.5
12015,"Charlotte",2022-10-06,1012117.5,1458499.5
12015,"Charlotte",2022-10-07,533054.25,1012117.5
12015,"Charlotte",2022-10-08,78969.5,533054.25
12015,"Charlotte",2022-10-09,1377,78969.5
12015,"Charlotte",2022-10-10,645.5,1377
12015,"Charlotte",2022-10-11,493.75,645.5
12015,"Charlotte",2022-10-12,240,493.75
12017,"Citrus",2022-09-24,50,NA
12017,"Citrus",2022-09-25,23.75,50
12017,"Citrus",2022-09-26,1886,23.75
12017,"Citrus",2022-09-27,212.25,1886
12017,"Citrus",2022-09-28,3937.25,212.25
12017,"Citrus",2022-09-29,35287.5,3937.25
12017,"Citrus",2022-09-30,2319,35287.5
12017,"Citrus",2022-10-01,13.25,2319
12017,"Citrus",2022-10-02,463.75,13.25
12017,"Citrus",2022-10-03,617,463.75
12017,"Citrus",2022-10-04,52.75,617
12017,"Citrus",2022-10-05,102.75,52.75
12017,"Citrus",2022-10-06,204.75,102.75
12017,"Citrus",2022-10-07,26.75,204.75
12017,"Citrus",2022-10-08,19.5,26.75
12017,"Citrus",2022-10-09,36,19.5
12017,"Citrus",2022-10-10,1284.75,36
12017,"Citrus",2022-10-11,24.25,1284.75
12017,"Citrus",2022-10-12,58.75,24.25
12019,"Clay",2022-09-24,35.75,NA
12019,"Clay",2022-09-25,1.5,35.75
12019,"Clay",2022-09-26,24.75,1.5
12019,"Clay",2022-09-27,30.5,24.75
12019,"Clay",2022-09-28,4993.5,30.5
12019,"Clay",2022-09-29,60871,4993.5
12019,"Clay",2022-09-30,6898,60871
12019,"Clay",2022-10-01,238.25,6898
12019,"Clay",2022-10-02,1,238.25
12019,"Clay",2022-10-03,622,1
12019,"Clay",2022-10-04,282.75,622
12019,"Clay",2022-10-05,1038.25,282.75
12019,"Clay",2022-10-06,38.75,1038.25
12019,"Clay",2022-10-07,60,38.75
12019,"Clay",2022-10-08,103.75,60
12019,"Clay",2022-10-09,72.5,103.75
12019,"Clay",2022-10-10,17.25,72.5
12019,"Clay",2022-10-11,1972.75,17.25
12019,"Clay",2022-10-12,5774.25,1972.75
12021,"Collier",2022-09-24,1116.25,NA
12021,"Collier",2022-09-25,1539,1116.25
12021,"Collier",2022-09-26,4182,1539
12021,"Collier",2022-09-27,2261.25,4182
12021,"Collier",2022-09-28,1468393,2261.25
12021,"Collier",2022-09-29,4596087,1468393
12021,"Collier",2022-09-30,3669073,4596087
12021,"Collier",2022-10-01,2383145,3669073
12021,"Collier",2022-10-02,1809548,2383145
12021,"Collier",2022-10-03,1054976.25,1809548
12021,"Collier",2022-10-04,531473.25,1054976.25
12021,"Collier",2022-10-05,284173.5,531473.25
12021,"Collier",2022-10-06,222206.75,284173.5
12021,"Collier",2022-10-07,166776.25,222206.75
12021,"Collier",2022-10-08,85040.5,166776.25
