"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua",2022-11-06,215.75,NA
12001,"Alachua",2022-11-07,785.75,215.75
12001,"Alachua",2022-11-08,260.5,785.75
12001,"Alachua",2022-11-09,202,260.5
12001,"Alachua",2022-11-10,52448,202
12001,"Alachua",2022-11-11,67705.5,52448
12001,"Alachua",2022-11-12,79.75,67705.5
12001,"Alachua",2022-11-13,623.25,79.75
12001,"Alachua",2022-11-14,1062.5,623.25
12001,"Alachua",2022-11-15,31.5,1062.5
12001,"Alachua",2022-11-16,119,31.5
12001,"Alachua",2022-11-17,1545.5,119
12001,"Alachua",2022-11-18,227,1545.5
12001,"Alachua",2022-11-19,318.5,227
12001,"Alachua",2022-11-20,33.25,318.5
12001,"Alachua",2022-11-21,289.25,33.25
12001,"Alachua",2022-11-22,1166.25,289.25
12001,"Alachua",2022-11-23,61.25,1166.25
12001,"Alachua",2022-11-24,38,61.25
12003,"Baker",2022-11-06,108.25,NA
12003,"Baker",2022-11-07,7.75,108.25
12003,"Baker",2022-11-08,0,7.75
12003,"Baker",2022-11-09,0,0
12003,"Baker",2022-11-10,576.75,0
12003,"Baker",2022-11-11,2257,576.75
12003,"Baker",2022-11-12,0,2257
12003,"Baker",2022-11-13,5,0
12003,"Baker",2022-11-14,79.75,5
12003,"Baker",2022-11-15,0.75,79.75
12003,"Baker",2022-11-16,25.25,0.75
12003,"Baker",2022-11-17,2.5,25.25
12003,"Baker",2022-11-19,7.5,2.5
12003,"Baker",2022-11-21,0,7.5
12003,"Baker",2022-11-22,0.5,0
12003,"Baker",2022-11-23,6.25,0.5
12003,"Baker",2022-11-24,3.5,6.25
12005,"Bay",2022-11-06,11.75,NA
12005,"Bay",2022-11-07,241.75,11.75
12005,"Bay",2022-11-08,90.5,241.75
12005,"Bay",2022-11-09,175,90.5
12005,"Bay",2022-11-10,131,175
12005,"Bay",2022-11-11,146,131
12005,"Bay",2022-11-12,1574.75,146
12005,"Bay",2022-11-13,12.25,1574.75
12005,"Bay",2022-11-14,225.75,12.25
12005,"Bay",2022-11-15,679.5,225.75
12005,"Bay",2022-11-16,1350.75,679.5
12005,"Bay",2022-11-17,202.75,1350.75
12005,"Bay",2022-11-18,25,202.75
12005,"Bay",2022-11-19,62.25,25
12005,"Bay",2022-11-20,35.5,62.25
12005,"Bay",2022-11-21,260.25,35.5
12005,"Bay",2022-11-22,79,260.25
12005,"Bay",2022-11-23,25,79
12005,"Bay",2022-11-24,44.5,25
12007,"Bradford",2022-11-06,0,NA
12007,"Bradford",2022-11-07,0,0
12007,"Bradford",2022-11-08,33,0
12007,"Bradford",2022-11-09,0,33
12007,"Bradford",2022-11-10,9621.75,0
12007,"Bradford",2022-11-11,4647,9621.75
12007,"Bradford",2022-11-12,0.5,4647
12007,"Bradford",2022-11-13,0,0.5
12007,"Bradford",2022-11-14,0.25,0
12007,"Bradford",2022-11-16,0,0.25
12007,"Bradford",2022-11-17,0,0
12007,"Bradford",2022-11-18,0,0
12007,"Bradford",2022-11-19,6,0
12007,"Bradford",2022-11-21,55.75,6
12007,"Bradford",2022-11-22,1.5,55.75
12007,"Bradford",2022-11-23,10,1.5
12007,"Bradford",2022-11-24,2.75,10
12009,"Brevard",2022-11-06,1986,NA
12009,"Brevard",2022-11-07,1392.5,1986
12009,"Brevard",2022-11-08,2179.75,1392.5
12009,"Brevard",2022-11-09,22935.25,2179.75
12009,"Brevard",2022-11-10,1254992.5,22935.25
12009,"Brevard",2022-11-11,464714,1254992.5
12009,"Brevard",2022-11-12,8340.5,464714
12009,"Brevard",2022-11-13,4560,8340.5
12009,"Brevard",2022-11-14,4465,4560
12009,"Brevard",2022-11-15,4560,4465
12009,"Brevard",2022-11-16,4417.5,4560
12009,"Brevard",2022-11-17,4116,4417.5
12009,"Brevard",2022-11-18,2346.75,4116
12009,"Brevard",2022-11-19,428.75,2346.75
12009,"Brevard",2022-11-20,1401.75,428.75
12009,"Brevard",2022-11-21,2213.25,1401.75
12009,"Brevard",2022-11-22,1054,2213.25
12009,"Brevard",2022-11-23,5540.75,1054
12009,"Brevard",2022-11-24,902.75,5540.75
12011,"Broward",2022-11-06,2415.75,NA
12011,"Broward",2022-11-07,6943.25,2415.75
12011,"Broward",2022-11-08,5559.25,6943.25
12011,"Broward",2022-11-09,9487.5,5559.25
12011,"Broward",2022-11-10,23875.5,9487.5
12011,"Broward",2022-11-11,0,23875.5
12011,"Broward",2022-11-12,0,0
12011,"Broward",2022-11-13,0,0
12011,"Broward",2022-11-14,0,0
12011,"Broward",2022-11-15,0,0
12011,"Broward",2022-11-16,0,0
12011,"Broward",2022-11-17,117.25,0
12011,"Broward",2022-11-18,2031.75,117.25
12011,"Broward",2022-11-19,1298.5,2031.75
12011,"Broward",2022-11-20,1786,1298.5
12011,"Broward",2022-11-21,8136,1786
12011,"Broward",2022-11-22,2889.25,8136
12011,"Broward",2022-11-23,2122.5,2889.25
12011,"Broward",2022-11-24,3917,2122.5
12013,"Calhoun",2022-11-06,0,NA
12013,"Calhoun",2022-11-07,0,0
12013,"Calhoun",2022-11-08,0,0
12013,"Calhoun",2022-11-09,154.75,0
12013,"Calhoun",2022-11-10,111.75,154.75
12013,"Calhoun",2022-11-11,8.5,111.75
12013,"Calhoun",2022-11-12,0.5,8.5
12013,"Calhoun",2022-11-13,1,0.5
12013,"Calhoun",2022-11-14,0.5,1
12013,"Calhoun",2022-11-15,116.75,0.5
12013,"Calhoun",2022-11-16,0,116.75
12013,"Calhoun",2022-11-17,0,0
12013,"Calhoun",2022-11-18,0,0
12013,"Calhoun",2022-11-20,0,0
12013,"Calhoun",2022-11-21,0,0
12013,"Calhoun",2022-11-22,13.5,0
12013,"Calhoun",2022-11-23,6.75,13.5
12013,"Calhoun",2022-11-24,0,6.75
12015,"Charlotte",2022-11-06,187.25,NA
12015,"Charlotte",2022-11-07,679.75,187.25
12015,"Charlotte",2022-11-08,486.5,679.75
12015,"Charlotte",2022-11-09,530.5,486.5
12015,"Charlotte",2022-11-10,8915,530.5
12015,"Charlotte",2022-11-11,180,8915
12015,"Charlotte",2022-11-12,0,180
12015,"Charlotte",2022-11-13,0,0
12015,"Charlotte",2022-11-14,0,0
12015,"Charlotte",2022-11-15,0,0
12015,"Charlotte",2022-11-16,0,0
12015,"Charlotte",2022-11-17,113,0
12015,"Charlotte",2022-11-18,288.25,113
12015,"Charlotte",2022-11-19,147.75,288.25
12015,"Charlotte",2022-11-20,286.5,147.75
12015,"Charlotte",2022-11-21,527.75,286.5
12015,"Charlotte",2022-11-22,267.25,527.75
12015,"Charlotte",2022-11-23,2101,267.25
12015,"Charlotte",2022-11-24,1232.5,2101
12017,"Citrus",2022-11-06,441.75,NA
12017,"Citrus",2022-11-07,21.75,441.75
12017,"Citrus",2022-11-08,480,21.75
12017,"Citrus",2022-11-09,15.25,480
12017,"Citrus",2022-11-10,8581.75,15.25
12017,"Citrus",2022-11-11,1175.5,8581.75
12017,"Citrus",2022-11-12,78.5,1175.5
12017,"Citrus",2022-11-13,23.5,78.5
12017,"Citrus",2022-11-14,85,23.5
12017,"Citrus",2022-11-15,9.75,85
12017,"Citrus",2022-11-16,57.75,9.75
12017,"Citrus",2022-11-17,90.75,57.75
12017,"Citrus",2022-11-18,13,90.75
12017,"Citrus",2022-11-19,53,13
12017,"Citrus",2022-11-20,67.5,53
12017,"Citrus",2022-11-21,266.75,67.5
12017,"Citrus",2022-11-22,78,266.75
12017,"Citrus",2022-11-23,8.25,78
12017,"Citrus",2022-11-24,62,8.25
12019,"Clay",2022-11-06,2991.5,NA
12019,"Clay",2022-11-07,190.25,2991.5
12019,"Clay",2022-11-08,174.5,190.25
12019,"Clay",2022-11-09,311.5,174.5
12019,"Clay",2022-11-10,44116.25,311.5
12019,"Clay",2022-11-11,3794,44116.25
12019,"Clay",2022-11-12,293.5,3794
12019,"Clay",2022-11-13,40.25,293.5
12019,"Clay",2022-11-14,85.5,40.25
