"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua",2020-09-12,675,NA
12001,"Alachua",2020-09-13,3834.25,675
12001,"Alachua",2020-09-14,81.75,3834.25
12001,"Alachua",2020-09-15,54.5,81.75
12001,"Alachua",2020-09-16,340.75,54.5
12001,"Alachua",2020-09-17,1994.5,340.75
12001,"Alachua",2020-09-18,226.5,1994.5
12001,"Alachua",2020-09-19,374.5,226.5
12001,"Alachua",2020-09-20,2041.5,374.5
12001,"Alachua",2020-09-21,172.25,2041.5
12001,"Alachua",2020-09-22,224.75,172.25
12001,"Alachua",2020-09-23,49.75,224.75
12001,"Alachua",2020-09-24,54.5,49.75
12001,"Alachua",2020-09-25,179.75,54.5
12001,"Alachua",2020-09-26,220.25,179.75
12001,"Alachua",2020-09-27,385.5,220.25
12001,"Alachua",2020-09-28,351.75,385.5
12001,"Alachua",2020-09-29,2565.25,351.75
12001,"Alachua",2020-09-30,2991.25,2565.25
12003,"Baker",2020-09-12,764.25,NA
12003,"Baker",2020-09-13,8.25,764.25
12003,"Baker",2020-09-14,12.75,8.25
12003,"Baker",2020-09-15,169,12.75
12003,"Baker",2020-09-16,72.5,169
12003,"Baker",2020-09-17,28,72.5
12003,"Baker",2020-09-18,245.75,28
12003,"Baker",2020-09-19,112,245.75
12003,"Baker",2020-09-20,11.25,112
12003,"Baker",2020-09-21,68.25,11.25
12003,"Baker",2020-09-22,0,68.25
12003,"Baker",2020-09-23,24,0
12003,"Baker",2020-09-24,0,24
12003,"Baker",2020-09-25,87.25,0
12003,"Baker",2020-09-26,2.5,87.25
12003,"Baker",2020-09-27,53.5,2.5
12003,"Baker",2020-09-28,34,53.5
12003,"Baker",2020-09-29,282.5,34
12003,"Baker",2020-09-30,472.75,282.5
12005,"Bay",2020-09-12,1531.75,NA
12005,"Bay",2020-09-13,506.75,1531.75
12005,"Bay",2020-09-14,439.5,506.75
12005,"Bay",2020-09-15,3408,439.5
12005,"Bay",2020-09-16,53158.75,3408
12005,"Bay",2020-09-17,8659.75,53158.75
12005,"Bay",2020-09-18,377.5,8659.75
12005,"Bay",2020-09-19,299,377.5
12005,"Bay",2020-09-20,2685,299
12005,"Bay",2020-09-21,428.5,2685
12005,"Bay",2020-09-22,134.25,428.5
12005,"Bay",2020-09-23,87.25,134.25
12005,"Bay",2020-09-24,237.75,87.25
12005,"Bay",2020-09-25,1392.75,237.75
12005,"Bay",2020-09-26,64.25,1392.75
12005,"Bay",2020-09-27,24.25,64.25
12005,"Bay",2020-09-28,817.25,24.25
12005,"Bay",2020-09-29,110.5,817.25
12005,"Bay",2020-09-30,95,110.5
12007,"Bradford",2020-09-12,377.25,NA
12007,"Bradford",2020-09-13,1.5,377.25
12007,"Bradford",2020-09-14,16.5,1.5
12007,"Bradford",2020-09-15,163.25,16.5
12007,"Bradford",2020-09-16,5.75,163.25
12007,"Bradford",2020-09-17,172.5,5.75
12007,"Bradford",2020-09-18,44,172.5
12007,"Bradford",2020-09-19,23.75,44
12007,"Bradford",2020-09-20,0,23.75
12007,"Bradford",2020-09-21,176.25,0
12007,"Bradford",2020-09-22,8.5,176.25
12007,"Bradford",2020-09-23,2.25,8.5
12007,"Bradford",2020-09-24,7.75,2.25
12007,"Bradford",2020-09-25,9.25,7.75
12007,"Bradford",2020-09-26,0.75,9.25
12007,"Bradford",2020-09-27,15.75,0.75
12007,"Bradford",2020-09-28,79.5,15.75
12007,"Bradford",2020-09-29,161,79.5
12007,"Bradford",2020-09-30,243.5,161
12009,"Brevard",2020-09-12,4391.25,NA
12009,"Brevard",2020-09-13,2493.5,4391.25
12009,"Brevard",2020-09-14,4074,2493.5
12009,"Brevard",2020-09-15,896.25,4074
12009,"Brevard",2020-09-16,1420.25,896.25
12009,"Brevard",2020-09-17,1639.5,1420.25
12009,"Brevard",2020-09-18,583,1639.5
12009,"Brevard",2020-09-19,1037.75,583
12009,"Brevard",2020-09-20,4108.25,1037.75
12009,"Brevard",2020-09-21,5942.75,4108.25
12009,"Brevard",2020-09-22,793.5,5942.75
12009,"Brevard",2020-09-23,143.5,793.5
12009,"Brevard",2020-09-24,632,143.5
12009,"Brevard",2020-09-25,4702.75,632
12009,"Brevard",2020-09-26,299.5,4702.75
12009,"Brevard",2020-09-27,506.5,299.5
12009,"Brevard",2020-09-28,2827.75,506.5
12009,"Brevard",2020-09-29,2062.75,2827.75
12009,"Brevard",2020-09-30,1514,2062.75
12011,"Broward",2020-09-12,14065.75,NA
12011,"Broward",2020-09-13,10765.5,14065.75
12011,"Broward",2020-09-14,5585.25,10765.5
12011,"Broward",2020-09-15,6379.5,5585.25
12011,"Broward",2020-09-16,3682.5,6379.5
12011,"Broward",2020-09-17,2415,3682.5
12011,"Broward",2020-09-18,3557.75,2415
12011,"Broward",2020-09-19,2950.75,3557.75
12011,"Broward",2020-09-20,2064.75,2950.75
12011,"Broward",2020-09-21,6365.5,2064.75
12011,"Broward",2020-09-22,6234,6365.5
12011,"Broward",2020-09-23,6661.5,6234
12011,"Broward",2020-09-24,3275,6661.5
12011,"Broward",2020-09-25,8972.75,3275
12011,"Broward",2020-09-26,7276.25,8972.75
12011,"Broward",2020-09-27,12354.5,7276.25
12011,"Broward",2020-09-28,7200.25,12354.5
12011,"Broward",2020-09-29,4270.25,7200.25
12011,"Broward",2020-09-30,3123.75,4270.25
12013,"Calhoun",2020-09-12,643.5,NA
12013,"Calhoun",2020-09-13,3.25,643.5
12013,"Calhoun",2020-09-14,1988.25,3.25
12013,"Calhoun",2020-09-15,65.75,1988.25
12013,"Calhoun",2020-09-16,3386,65.75
12013,"Calhoun",2020-09-17,1860.5,3386
12013,"Calhoun",2020-09-18,0,1860.5
