"DATE","county","max_prcp","min_prcp","mean_prcp"
"2022-09-25","Alachua County",0,0,0
"2022-09-25","Baker County",0,0,0
"2022-09-25","Bay County",0,0,0
"2022-09-25","Brevard County",0.1,0,0.00295454545454545
"2022-09-25","Broward County",3.16,0,0.639655172413793
"2022-09-25","Charlotte County",0.42,0,0.03
"2022-09-25","Citrus County",0,0,0
"2022-09-25","Clay County",0,0,0
"2022-09-25","Collier County",0.46,0,0.065
"2022-09-25","Columbia County",0,0,0
"2022-09-25","DeSoto County",0,0,0
"2022-09-25","Dixie County",0,0,0
"2022-09-25","Duval County",0.01,0,0.000434782608695652
"2022-09-25","Escambia County",0,0,0
"2022-09-25","Flagler County",0,0,0
"2022-09-25","Franklin County",0,0,0
"2022-09-25","Gadsden County",0,0,0
"2022-09-25","Gilchrist County",0,0,0
"2022-09-25","Glades County",0.9,0,0.3
"2022-09-25","Gulf County",0,0,0
"2022-09-25","Hamilton County",0,0,0
"2022-09-25","Hardee County",0,0,0
"2022-09-25","Hendry County",0.11,0,0.0283333333333333
"2022-09-25","Hernando County",0,0,0
"2022-09-25","Highlands County",0.09,0,0.01
"2022-09-25","Hillsborough County",0,0,0
"2022-09-25","Holmes County",0,0,0
"2022-09-25","Indian River County",0.33,0.02,0.0781818181818182
"2022-09-25","Jackson County",0,0,0
"2022-09-25","Jefferson County",0,0,0
"2022-09-25","Lake County",0,0,0
"2022-09-25","Lee County",0.07,0,0.00916666666666667
"2022-09-25","Leon County",0,0,0
"2022-09-25","Levy County",0,0,0
"2022-09-25","Manatee County",0.05,0,0.00357142857142857
"2022-09-25","Marion County",0,0,0
"2022-09-25","Martin County",2.45,0,0.779411764705882
"2022-09-25","Miami-Dade County",2.76,0,0.57
"2022-09-25","Monroe County",0.13,0,0.0182608695652174
"2022-09-25","Nassau County",0,0,0
"2022-09-25","Okaloosa County",0,0,0
"2022-09-25","Okeechobee County",0,0,0
"2022-09-25","Orange County",0.01,0,0.000555555555555556
"2022-09-25","Osceola County",0,0,0
"2022-09-25","Palm Beach County",2.34,0,0.822222222222222
"2022-09-25","Pasco County",0,0,0
"2022-09-25","Pinellas County",0.02,0,0.000714285714285714
"2022-09-25","Polk County",0.03,0,0.00277777777777778
"2022-09-25","Putnam County",0,0,0
"2022-09-25","Santa Rosa County",0,0,0
"2022-09-25","Sarasota County",0.11,0,0.0075
"2022-09-25","Seminole County",0,0,0
"2022-09-25","St. Johns County",0,0,0
"2022-09-25","St. Lucie County",2.99,0.01,1.04583333333333
"2022-09-25","Sumter County",0,0,0
"2022-09-25","Suwannee County",0,0,0
"2022-09-25","Volusia County",0,0,0
"2022-09-25","Wakulla County",0,0,0
"2022-09-25","Walton County",0,0,0
"2022-09-25","Washington County",0,0,0
"2022-09-26","Alachua County",0,0,0
"2022-09-26","Baker County",0,0,0
"2022-09-26","Bay County",0,0,0
"2022-09-26","Brevard County",0.62,0,0.0566666666666667
"2022-09-26","Broward County",2.29,0,0.312142857142857
"2022-09-26","Charlotte County",3.25,0,0.95
"2022-09-26","Citrus County",0,0,0
"2022-09-26","Clay County",0,0,0
"2022-09-26","Collier County",1.09,0,0.100909090909091
"2022-09-26","Columbia County",0,0,0
"2022-09-26","DeSoto County",0.03,0.03,0.03
"2022-09-26","Dixie County",0,0,0
"2022-09-26","Duval County",0,0,0
"2022-09-26","Escambia County",0.05,0,0.004
"2022-09-26","Flagler County",0,0,0
"2022-09-26","Franklin County",0,0,0
"2022-09-26","Gadsden County",0,0,0
"2022-09-26","Gilchrist County",0.09,0,0.045
"2022-09-26","Glades County",0,0,0
"2022-09-26","Gulf County",0,0,0
"2022-09-26","Hamilton County",0,0,0
"2022-09-26","Hardee County",3.3,3.3,3.3
"2022-09-26","Hendry County",1.95,0,0.325
"2022-09-26","Hernando County",0.03,0,0.00272727272727273
"2022-09-26","Highlands County",0.52,0,0.0822222222222222
"2022-09-26","Hillsborough County",1.91,0,0.0581578947368421
"2022-09-26","Holmes County",0,0,0
"2022-09-26","Indian River County",0.87,0,0.184285714285714
"2022-09-26","Jackson County",0,0,0
"2022-09-26","Jefferson County",0,0,0
"2022-09-26","Lake County",0,0,0
"2022-09-26","Lee County",0.99,0,0.173636363636364
"2022-09-26","Leon County",0,0,0
"2022-09-26","Levy County",0,0,0
"2022-09-26","Manatee County",1.59,0,0.226923076923077
"2022-09-26","Marion County",0,0,0
"2022-09-26","Martin County",0.65,0,0.0777777777777778
"2022-09-26","Miami-Dade County",2.7,0,0.4264
"2022-09-26","Monroe County",3.08,0,0.328636363636364
"2022-09-26","Nassau County",0,0,0
"2022-09-26","Okaloosa County",0,0,0
"2022-09-26","Okeechobee County",0,0,0
"2022-09-26","Orange County",0.24,0,0.0133333333333333
"2022-09-26","Osceola County",0,0,0
"2022-09-26","Palm Beach County",0.45,0,0.0562962962962963
"2022-09-26","Pasco County",1.17,0,0.0964285714285714
"2022-09-26","Pinellas County",0.53,0,0.0373333333333333
"2022-09-26","Polk County",0.24,0,0.0344444444444444
"2022-09-26","Putnam County",0,0,0
"2022-09-26","Santa Rosa County",0,0,0
"2022-09-26","Sarasota County",1.42,0,0.376315789473684
"2022-09-26","Seminole County",0,0,0
"2022-09-26","St. Johns County",0,0,0
"2022-09-26","St. Lucie County",1.35,0,0.449166666666667
"2022-09-26","Sumter County",0,0,0
"2022-09-26","Suwannee County",0,0,0
"2022-09-26","Volusia County",0,0,0
"2022-09-26","Wakulla County",0,0,0
"2022-09-26","Walton County",0,0,0
"2022-09-26","Washington County",0,0,0
"2022-09-27","Alachua County",0,0,0
"2022-09-27","Baker County",0,0,0
"2022-09-27","Bay County",0,0,0
"2022-09-27","Brevard County",1.42,0,0.135
"2022-09-27","Broward County",4.06,1.11,2.10793103448276
"2022-09-27","Charlotte County",1.74,0,0.457058823529412
"2022-09-27","Citrus County",0,0,0
"2022-09-27","Clay County",0,0,0
"2022-09-27","Collier County",3.73,0.26,0.784615384615385
"2022-09-27","Columbia County",0,0,0
"2022-09-27","DeSoto County",0.16,0.16,0.16
"2022-09-27","Dixie County",0,0,0
"2022-09-27","Duval County",0,0,0
"2022-09-27","Escambia County",0.23,0,0.0213333333333333
