"DATE","county","max_prcp","min_prcp","mean_prcp"
"2022-11-07","Alachua County",0.5,0,0.1
"2022-11-07","Baker County",0.6,0.09,0.266666666666667
"2022-11-07","Bay County",0.01,0,0.000833333333333333
"2022-11-07","Brevard County",0.43,0,0.0831818181818182
"2022-11-07","Broward County",1.03,0,0.2716
"2022-11-07","Charlotte County",0.02,0,0.00153846153846154
"2022-11-07","Citrus County",1.6,0,0.195384615384615
"2022-11-07","Clay County",0.37,0.01,0.1025
"2022-11-07","Collier County",0.12,0,0.0263636363636364
"2022-11-07","Columbia County",0.09,0,0.0316666666666667
"2022-11-07","DeSoto County",0,0,0
"2022-11-07","Dixie County",0,0,0
"2022-11-07","Duval County",0.18,0,0.0272
"2022-11-07","Escambia County",0,0,0
"2022-11-07","Flagler County",0.3,0,0.0261538461538462
"2022-11-07","Franklin County",0,0,0
"2022-11-07","Gadsden County",0.02,0,0.00333333333333333
"2022-11-07","Gilchrist County",0,0,0
"2022-11-07","Glades County",0.01,0,0.0025
"2022-11-07","Gulf County",0,0,0
"2022-11-07","Hamilton County",0,0,0
"2022-11-07","Hardee County",0,0,0
"2022-11-07","Hendry County",0.03,0,0.00428571428571429
"2022-11-07","Hernando County",0.17,0,0.0375
"2022-11-07","Highlands County",0.09,0,0.011
"2022-11-07","Hillsborough County",0.18,0,0.01975
"2022-11-07","Holmes County",0,0,0
"2022-11-07","Indian River County",0.35,0,0.11
"2022-11-07","Jackson County",0,0,0
"2022-11-07","Jefferson County",0,0,0
"2022-11-07","Lafayette County",0,0,0
"2022-11-07","Lake County",0.02,0,0.00388888888888889
"2022-11-07","Lee County",0,0,0
"2022-11-07","Leon County",0.03,0,0.00545454545454545
"2022-11-07","Levy County",0.37,0,0.1
"2022-11-07","Manatee County",0.06,0,0.015625
"2022-11-07","Marion County",0.14,0,0.0194117647058824
"2022-11-07","Martin County",0.14,0,0.0438461538461538
"2022-11-07","Miami-Dade County",0.55,0,0.1732
"2022-11-07","Monroe County",0.67,0.03,0.2036
"2022-11-07","Nassau County",0.03,0,0.015
"2022-11-07","Okaloosa County",0,0,0
"2022-11-07","Okeechobee County",0.75,0.67,0.71
"2022-11-07","Orange County",0.13,0,0.0245
