"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-13","4.20"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-14","1.19"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-15","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-16","0.12"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-17","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-18","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-19","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-20","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-21","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-22","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-23","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-24","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-25","0.22"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-26","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-27","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-28","0.64"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-29","0.00"
"US1FLCR0013","NAPLES PARK 3.7 ENE, FL US","26.279769","-81.758328","2.7","2020-09-30","0.77"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-13","5.66"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-14","2.12"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-15","0.21"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-16","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-17","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-18","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-19","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-20","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-21","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-22","0.14"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-23","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-24","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-25","0.08"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-26","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-27","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-28","4.53"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-29","0.00"
"US1FLCR0012","NAPLES 5.7 SE, FL US","26.097565","-81.722053","7.0","2020-09-30","0.24"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-13","1.63"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-14","0.75"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-15","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-16","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-17","1.26"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-18","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-19","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-20","5.68"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-21","0.28"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-22","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-23","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-24","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-25","0.00"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-26","0.09"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-27","1.09"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-28","0.76"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-29","1.08"
"USC00088051","SCOTTSMOOR 2.5 SSW, FL US","28.7299","-80.8795","12.8","2020-09-30","1.19"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-13","0.11"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-14","0.27"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-15","1.16"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-16","10.06"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-17","0.02"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-18","0.00"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-19","0.00"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-20","0.08"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-21",
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-22","0.00"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-23","0.00"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-24","0.08"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-25","0.23"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-26","0.00"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-27","1.19"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-28","0.00"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-29","0.52"
"USW00063871","BONIFAY TRI CO AIRPORT, FL US","30.84315","-85.60431","31.2","2020-09-30","0.00"
"US1FLBV0092","SATELLITE BEACH 2.0 N, FL US","28.20448","-80.60123","4.6","2020-09-13","1.15"
"US1FLBV0092","SATELLITE BEACH 2.0 N, FL US","28.20448","-80.60123","4.6","2020-09-14","0.45"
"US1FLBV0092","SATELLITE BEACH 2.0 N, FL US","28.20448","-80.60123","4.6","2020-09-24",
"US1FLBV0092","SATELLITE BEACH 2.0 N, FL US","28.20448","-80.60123","4.6","2020-09-26",
"US1FLBV0092","SATELLITE BEACH 2.0 N, FL US","28.20448","-80.60123","4.6","2020-09-29",
"US1FLBV0092","SATELLITE BEACH 2.0 N, FL US","28.20448","-80.60123","4.6","2020-09-30","0.11"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-13","0.43"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-14","0.07"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-16","0.07"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-17","1.26"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-20","0.85"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-21","1.86"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-22","0.02"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-23","0.02"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-24","0.00"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-25","0.01"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-26","1.19"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-27","0.00"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-28","0.05"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-29","0.32"
"US1FLBV0099","WEST MELBOURNE 2.5 SSW, FL US","28.050179","-80.693915","7.3","2020-09-30","0.10"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-13","0.76"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-14","0.44"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-15","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-16","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-17","0.81"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-18","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-19","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-20","0.73"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-21","1.26"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-22","0.01"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-23","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-24","0.01"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-25","0.02"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-26","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-27","0.00"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-28","0.29"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-29","1.38"
"US1FLBV0095","MERRITT ISLAND 10.6 NNW, FL US","28.45848","-80.70775","8.5","2020-09-30","0.46"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-13","2.12"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-14","0.05"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-15","0.08"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-16","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-17","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-18","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-19","0.30"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-20","0.32"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-21","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-22","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-23","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-24","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-25","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-26","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-27","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-28","0.00"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-29","0.20"
"USC00089176","VENICE, FL US","27.1006","-82.4364","2.4","2020-09-30","0.10"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-13","2.26"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-14","1.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-15","0.36"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-16","0.07"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-17","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-18","0.21"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-19","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-20","1.43"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-21","0.09"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-22","0.10"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-23","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-24","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-25","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-26","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-27","0.00"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-28","2.36"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-29","0.33"
"USC00083874","HASTINGS 4 NE, FL US","29.7652","-81.4697","3.0","2020-09-30","0.37"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-13","1.27"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-14","0.02"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-15","0.86"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-16","0.27"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-17","0.09"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-18","0.41"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-19","0.02"
"US1FLHB0160","VALRICO 1.6 NNW, FL US","27.9665","-82.2548","21.9","2020-09-20","0.00"
