"day","county","max_temp_f","min_temp_f","avg_wind_speed_kts","min_rh","avg_rh","max_rh","max_wind_speed_kts","max_wind_gust_kts"
2022-09-25,"Alachua County",89,63,1.390362,44.660763,74.45357,96.903595,7.820786,11.296691
2022-09-25,"Bay County",92,66,4.1436064,34.64837,71.2703426666667,94.68646,11.296691,13.90362
2022-09-25,"Bradford County",86,64.4,1.8397212,37.624702,75.57216,100,6,10
2022-09-25,"Brevard County",91.4,72.5,8.01943752,55.530766,77.2915614,99.04726,18.2485,21.724405
2022-09-25,"Broward County",93,76,4.974889075,49.88376,78.419635,100,18.2485,31.283144
2022-09-25,"Charlotte County",93.2,75,3.8651302,57.93478,85.37979,100,15.641572,23.462358
2022-09-25,"Collier County",91.9,75,3.41187145,46.991474,81.7085825,100,10.427715,13.90362
2022-09-25,"Duval County",98.6,60.8,3.01733468333333,30.799444,70.7513551666667,100,12,15.641572
2022-09-25,"Escambia County",93,71.1,3.79696895,47.447067,72.614612,93.79415,11.296691,13.90362
2022-09-25,"Franklin County",87,68,3.9972906,65.26648,82.71371,100,10.427715,13.90362
2022-09-25,"Hernando County",91,68,3.215212,53.91329,76.70026,96.9686,8.689762,13.034643
2022-09-25,"Highlands County",91,73,4.655052,60.959785,90.24751,100,11,20
2022-09-25,"Hillsborough County",92,-34.6,3.507875625,48.930344,76.7611835,100,11.296691,14.772596
2022-09-25,"Indian River County",89,75,7.18100025,67.80237,79.49415,100,13,17
2022-09-25,"Jackson County",92,59,1.9117477,37.96806,64.18195,89.48413,10.427715,14.772596
2022-09-25,"Lake County",90,70,4.431779,51.93074,72.66592,90.594666,13.034643,15.641572
2022-09-25,"Lee County",94,76,3.99729075,52.348576,78.66733,97.04129,13.90362,18.2485
2022-09-25,"Leon County",91,62,2.2593381,37.96806,68.14797,93.56222,10.427715,13.034643
2022-09-25,"Manatee County",90,73,5.7352433,59.147587,77.16871,92.96513,13.90362,18.2485
2022-09-25,"Marion County",89,66,2.7714884,48.025757,74.11668,96.92933,8,12.165668
2022-09-25,"Miami-Dade County",91,73,3.7510501,50.356514,80.7068335,100,15.641572,19.986454
2022-09-25,"Monroe County",94,77,4.82313135,57.69113,74.984986,94.22723,17.379524,21.724405
2022-09-25,"Okaloosa County",93,62,3.42620188,39.74846,69.505702,96.322716,10.427715,18
2022-09-25,"Okeechobee County",89.6,73.4,2.216028,74.92519,96.48332,100,8,13
2022-09-25,"Orange County",92,74,6.12628245,55.463593,72.5626375,90.974266,14.772596,18.2485
2022-09-25,"Osceola County",89.1,73.9,4.7395544,59.092064,76.03447,87.72512,13,14
2022-09-25,"Palm Beach County",91.4,75,4.048115,55.77155,79.238535,100,22.593382,27.80724
2022-09-25,"Pinellas County",88,73.4,5.7556804,58.315598,75.39924,88.507805,13.90362,16.51055
2022-09-25,"Polk County",100,71.6,5.11956304,41.962704,75.96091,100,13.034643,18
2022-09-25,"Santa Rosa County",93,64.9,3.9610028,42.201916,74.74769,96.903595,13,17
2022-09-25,"Sarasota County",87.8,75.2,6.5400696,66.35352,81.74706,94.22723,16,14
2022-09-25,"Seminole County",89,73,5.300755,59.20717,75.03724,85.08769,14.772596,18.2485
2022-09-25,"St. Lucie County",86,76,3.8234954,69.685555,81.18101,97.04129,13.90362,15.641572
2022-09-25,"Volusia County",87.4,69.3,4.670549825,57.163784,73.88974375,100,13.034643,18.2485
2022-09-26,"Alachua County",92,65,1.7379525,45.241203,72.13669,96.903595,12.165668,15.641572
2022-09-26,"Bay County",94.5,71,4.94046366666667,40.72174,67.6653566666667,93.77152,12.165668,15.641572
2022-09-26,"Bradford County",89.6,64.4,2.174216,40.412163,77.18205,100,8,15
2022-09-26,"Brevard County",91.4,72.5,5.42977246,49.362175,81.8378882,100,18.2485,21.724405
2022-09-26,"Broward County",90,74,4.866266875,61.241543,84.5264135,100,22.593382,28.676216
2022-09-26,"Charlotte County",93.2,75,4.7134111,53.867287,88.26679,100,17.379524,23
2022-09-26,"Collier County",90,73,4.5743797,66.35352,88.6925475,100,19.986454,25.200312
2022-09-26,"Duval County",98.6,62.6,4.08985786666667,31.889462,71.6818951666667,100,12.165668,14.772596
2022-09-26,"Escambia County",91,72,4.7575749,48.279877,73.2764375,94.14301,13.034643,19.117477
2022-09-26,"Franklin County",94,71,3.5628026,39.76362,75.47377,97.016945,10.427715,13.90362
2022-09-26,"Gadsden County",93.2,68,3.010453,31.993595,73.628,100,10,16
2022-09-26,"Hernando County",94,73,4.171086,52.247787,78.64555,97.016945,14.772596,19.986454
2022-09-26,"Hillsborough County",95,-34.6,4.18968825,53.867287,80.648294,100,16,23
2022-09-26,"Indian River County",89,73,4.1515345,67.61098,86.7945675,100,14.772596,17.379524
2022-09-26,"Jackson County",93,67,3.6497002,32.02613,63.23374,100,13.034643,17.379524
2022-09-26,"Lake County",93,72,4.605574,45.241203,71.56066,93.79415,13.034643,15.641572
2022-09-26,"Lee County",92,76,4.43177885,55.77155,84.901657,96.42644,13.90362,18.2485
2022-09-26,"Leon County",94,69,3.475905,28.79235,63.15879,96.29225,13.034643,16.51055
2022-09-26,"Manatee County",91,74,5.300755,60.966244,84.495514,97.04129,21.724405,28.676216
2022-09-26,"Marion County",91,69,2.7561147,42.205044,72.27632,100,10,12.165668
2022-09-26,"Miami-Dade County",90,74,4.792662525,63.124584,84.687445,100,22.593382,28.676216
2022-09-26,"Monroe County",94,75.2,8.493082,59.8391,80.04115375,100,24.331335,40
2022-09-26,"Okaloosa County",95,66,4.95809324,39.652657,66.7174998,96.9686,14.772596,22.593382
2022-09-26,"Okeechobee County",87.8,73.4,2.4390244,74.76602,94.57028,100,12,18
2022-09-26,"Orange County",94,75,4.9966135,52.372917,74.1652175,90.73938,13.90362,17.379524
2022-09-26,"Palm Beach County",91.4,73.4,3.4433064,59.241306,85.9260013333333,100,15.641572,19.986454
2022-09-26,"Pasco County",91.6,72,3.9163764,54.00898,82.91303,99.325775,13,18
2022-09-26,"Pinellas County",92,73.4,5.41178463333333,58.781776,82.5373786666667,100,24.331335,33.0211
2022-09-26,"Polk County",106,73.4,4.3875376,38.552353,79.518658,100,18.2485,24.331335
2022-09-26,"Putnam County",87.8,60.8,2.0069687,45.60833,75.21891,100,9,11
2022-09-26,"Santa Rosa County",91.9,66,7.09293435,45.241203,69.1943675,100,13,16
2022-09-26,"Sarasota County",89.6,75.2,5.672474,59.012367,90.898056,100,14,20
2022-09-26,"Seminole County",93,72,4.8662667,45.68785,74.120865,97.04129,13.90362,16.51055
2022-09-26,"St. Lucie County",87,72,2.4331334,71.92741,89.641655,97.07845,15.641572,19.117477
2022-09-26,"Suwannee County",91.4,62.6,1.3937283,38.45166,77.91575,100,6,11
2022-09-26,"Volusia County",91.6,68,3.93909115,45.985374,76.83222375,100,13,15.641572
2022-09-27,"Alachua County",85,71,5.995936,42.629578,64.78607,96.322716,12.165668,17.379524
2022-09-27,"Bay County",88.5,64,10.0072046666667,26.659191,45.846365,69.92407,15.641572,20.85543
2022-09-27,"Bradford County",82.4,69.8,5.5017424,34.69455,63.260406,100,10,14
2022-09-27,"Brevard County",84.2,74.1,4.87679584,65.536865,87.909397,99.02334,15.641572,19.117477
2022-09-27,"Broward County",84,74,11.92669875,76.790886,90.02109275,100,30.41417,36.497
2022-09-27,"Charlotte County",78,75,9.1254908,90.172104,97.913685,100,26.938263,39.10393
2022-09-27,"Citrus County",86,71.6,3.2334494,50.16813,86.29714,100,13,19
2022-09-27,"Collier County",77,74,12.07877,100,100,100,22.593382,34.75905
2022-09-27,"Columbia County",80.6,64.4,5.3728223,36.787907,60.74665,94.05696,11,15
