"","ID","Station Name","Latitude","Longitude","Elevation [m]","Archive Begins","Archive Ends","address","county"
"1","1J0","Tri County",30.8458,-85.6014,26,2011-07-12,2021-12-15,"Tri-County Airport, Tri County Airport Road, Holmes County, Florida, United States","Holmes County"
"2","24J","Live Oak",30.3001,-83.0247,35.94818,2014-02-25,NA,"Suwannee County Airport, 135th Drive, Suwannee County, Florida, 32060, United States","Suwannee County"
"3","28J","Palatka",29.6586,-81.6889,9.363473,2013-12-13,NA,"4015, Reid Street, Palatka, Putnam County, Florida, 32177, United States","Putnam County"
"4","2IS","Clewiston",26.7339,-81.0468,8.316562,2020-08-06,NA,"Airglades Airport, 3200, Airglades Boulevard, Clewiston, Hendry County, Florida, 33440, United States","Hendry County"
"5","2J9","Quincy",30.5979,-84.5574,69,2011-05-21,NA,"Quincy Municipal Airport, C&E Farm Road, Gadsden County, Florida, 32353, United States","Gadsden County"
"6","42J","Keystone Heights",29.8448,-82.0475,60,1943-12-10,NA,"Keystone Heights Airport, 7100, Airport Road, Starke, Bradford County, Florida, 32091, United States","Bradford County"
"7","54A","Coral Creek",26.8537,-82.2526,1,2022-08-10,NA,"Coral Creek Airport, 11901, Gasparilla Road, Charlotte County, Florida, 33946, United States","Charlotte County"
"8","54J","DeFuniak",30.7311,-86.1538,85.669975,2013-05-13,NA,"DeFuniak Springs Airport, 1931, US Highway 90 West, DeFuniak Springs, Walton County, Florida, 32433, United States","Walton County"
"9","AAF","APALACHICOLA MUNI (ASOS)",29.7276,-85.0274,6,1945-01-01,NA,"Apalachicola Regional Airport, Appalachee Street, Franklin County, Florida, 32329, United States","Franklin County"
"10","AGR","MacGill AFB",27.6478,-81.3415,20,2022-09-22,2022-11-07,"MacDill Air Force Base Auxiliary Field (Avon Park/Arbuckle Airfield), Wainwright Way, Polk County, Florida, United States","Polk County"
"11","APF","NAPLES MUNICIPAL",26.1525,-81.7753,3,1943-12-29,NA,"Naples Municipal Airport, Gordon River Greenway, Naples, Collier County, Florida, 34102, United States","Collier County"
"12","BCR","Tri-County",30.8438,-85.6017,25.649832,2021-12-18,NA,"Tri-County Airport, Tri County Airport Road, Holmes County, Florida, United States","Holmes County"
"13","BCT","BOCA RATON AIRPORT",26.38,-80.11,4,2000-11-15,NA,"Airport Road, Boca Raton, Palm Beach County, Florida, 33431, United States","Palm Beach County"
"14","BKV","BROOKSVILLE (ASOS)",28.4736,-82.4554,20,1996-07-01,NA,"Brooksville-Tampa Bay Regional Airport, 15800, Flight Path Drive, Brooksville, Hernando County, Florida, 34604, United States","Hernando County"
"15","BOW","Bartow",27.9434,-81.7834,38.1,1955-02-01,NA,"Bartow Executive Airport, 5993, Airport Boulevard, Polk County, Florida, 33830, United States","Polk County"
"16","CEW","CRESTVIEW/BOB SIKES",30.78,-86.52,65,1948-01-01,NA,"Bob Sikes Airport, 5551, John Givens Road, Crestview, Okaloosa County, Florida, 32539, United States","Okaloosa County"
