"fips_code","county","date","total_outage"
12001,"Alachua",2022-05-01,422.5
12001,"Alachua",2022-05-02,4549
12001,"Alachua",2022-05-03,19
12001,"Alachua",2022-05-04,332.5
12001,"Alachua",2022-05-05,676.25
12001,"Alachua",2022-05-06,208.5
12001,"Alachua",2022-05-07,1760
12001,"Alachua",2022-05-08,110.5
12001,"Alachua",2022-05-09,682.75
12001,"Alachua",2022-05-10,7.25
12001,"Alachua",2022-05-11,599.75
12001,"Alachua",2022-05-12,104
12001,"Alachua",2022-05-13,1553.25
12001,"Alachua",2022-05-14,59.75
12001,"Alachua",2022-05-15,2940.75
12001,"Alachua",2022-05-16,1513.75
12001,"Alachua",2022-05-17,215.75
12001,"Alachua",2022-05-18,108.5
12001,"Alachua",2022-05-19,570.25
12001,"Alachua",2022-05-20,2004
12001,"Alachua",2022-05-21,1920.5
12001,"Alachua",2022-05-22,50.75
12001,"Alachua",2022-05-23,5049.75
12001,"Alachua",2022-05-24,207.5
12001,"Alachua",2022-05-25,203.5
12001,"Alachua",2022-05-26,201.75
12001,"Alachua",2022-05-27,391.5
12001,"Alachua",2022-05-28,55.5
12001,"Alachua",2022-05-29,133
12001,"Alachua",2022-05-30,7627.25
12001,"Alachua",2022-05-31,3554.5
12001,"Alachua",2022-06-01,1124.25
12001,"Alachua",2022-06-02,130
12001,"Alachua",2022-06-03,2486.5
12001,"Alachua",2022-06-04,2891.25
12001,"Alachua",2022-06-05,142
12001,"Alachua",2022-06-06,442.5
12001,"Alachua",2022-06-07,300.75
12001,"Alachua",2022-06-08,448.25
12001,"Alachua",2022-06-09,1983
12001,"Alachua",2022-06-10,1177.25
12001,"Alachua",2022-06-11,211.5
12001,"Alachua",2022-06-12,129
12001,"Alachua",2022-06-13,106
12001,"Alachua",2022-06-14,263.25
12001,"Alachua",2022-06-15,490.5
12001,"Alachua",2022-06-16,132.75
12001,"Alachua",2022-06-17,558.5
12001,"Alachua",2022-06-18,255.25
12001,"Alachua",2022-06-19,1995.5
12001,"Alachua",2022-06-20,107
12001,"Alachua",2022-06-21,157.25
12001,"Alachua",2022-06-22,78.5
12001,"Alachua",2022-06-23,192
12001,"Alachua",2022-06-24,3345.5
12001,"Alachua",2022-06-25,728.5
12001,"Alachua",2022-06-26,129.75
12001,"Alachua",2022-06-27,184.5
12001,"Alachua",2022-06-28,109.5
12001,"Alachua",2022-06-29,231.25
12001,"Alachua",2022-06-30,1576.5
12001,"Alachua",2022-07-01,132
12001,"Alachua",2022-07-02,180.5
12001,"Alachua",2022-07-03,170.5
12001,"Alachua",2022-07-04,2564.75
12001,"Alachua",2022-07-05,464.25
12001,"Alachua",2022-07-06,528.5
12001,"Alachua",2022-07-07,622.5
12001,"Alachua",2022-07-08,812.75
12001,"Alachua",2022-07-09,1917.5
12001,"Alachua",2022-07-10,332.5
12001,"Alachua",2022-07-11,1360.25
12001,"Alachua",2022-07-12,1674.5
12001,"Alachua",2022-07-13,111.25
12001,"Alachua",2022-07-14,323.5
12001,"Alachua",2022-07-15,184.5
12001,"Alachua",2022-07-16,1334.75
12001,"Alachua",2022-07-17,215.5
12001,"Alachua",2022-07-18,135
12001,"Alachua",2022-07-19,140.75
12001,"Alachua",2022-07-20,947.25
12001,"Alachua",2022-07-21,385.75
12001,"Alachua",2022-07-22,10292.5
12001,"Alachua",2022-07-23,5192.5
12001,"Alachua",2022-07-24,1533
12001,"Alachua",2022-07-25,1162.25
12001,"Alachua",2022-07-26,1317.25
12001,"Alachua",2022-07-27,3723.75
12001,"Alachua",2022-07-28,85
12001,"Alachua",2022-07-29,1047.5
12001,"Alachua",2022-07-30,634.5
12001,"Alachua",2022-07-31,56.75
12001,"Alachua",2022-08-01,1284.75
12001,"Alachua",2022-08-02,4161.5
12001,"Alachua",2022-08-03,1049
12001,"Alachua",2022-08-04,1712.5
12001,"Alachua",2022-08-05,4318.5
12001,"Alachua",2022-08-06,128.5
12001,"Alachua",2022-08-07,574
12001,"Alachua",2022-08-08,378.25
12001,"Alachua",2022-08-09,113.5
12001,"Alachua",2022-08-10,120
12001,"Alachua",2022-08-11,317
12001,"Alachua",2022-08-12,257
12001,"Alachua",2022-08-13,1131.25
12001,"Alachua",2022-08-14,114.5
