"county","Mean_NDVI","Min_NDVI","date","mean_mean_ndvi","mean_min_ndvi"
"Alachua",-0.0017625,-0.0231,2021-07-04,0.255476393144932,0.0383555555555556
"Baker",0.143683333333333,0.0142,2021-07-04,0.297911522633745,0.0698
"Bay",0.0393407894736842,-0.0077,2021-07-04,0.237936050773814,0.0454888888888889
"Bradford",0.00154,-0.0126,2021-07-04,0.229202151979566,0.0752611111111111
"Brevard",0.287626262626263,2e-04,2021-07-04,0.332152753110675,0.0533944444444444
"Broward",0.293503225806452,0.0616,2021-07-04,0.205682767663544,0.0170055555555556
"Calhoun",0.109535185185185,0.001,2021-07-04,0.228043002174082,0.0416611111111111
"Charlotte",0.381953246753247,0.0488,2021-07-04,0.306188770438185,0.0652111111111111
"Citrus",0.340942105263158,0.0041,2021-07-04,0.313380343665459,0.0731277777777778
"Clay",0.0488916666666667,-0.0101,2021-07-04,0.229310545479321,0.05235
"Collier",0.45171871657754,0.0874,2021-07-04,0.242266796086358,0.00230555555555556
"Columbia",0.05978875,-0.0195,2021-07-04,0.294007569444444,0.0604666666666667
"DeSoto",0.313501666666667,0.0602,2021-07-04,0.372655734463277,0.0909833333333333
"Dixie",0.100801492537313,-0.0234,2021-07-04,0.235540771861777,0.0298944444444444
"Duval",0.133798591549296,-0.0043,2021-07-04,0.246874826817403,0.02865
"Escambia",0.403910769230769,0.0533,2021-07-04,0.21012753867361,0.00893888888888889
"Flagler",0.109491666666667,0.004,2021-07-04,0.265791442271353,0.0690833333333333
"Franklin",0.00759,-0.0122,2021-07-04,0.234035230271596,0.0119222222222222
"Gadsden",0.0938294117647059,0.0033,2021-07-04,0.275483551198257,0.06235
"Gilchrist",0.0140971428571428,-0.0144,2021-07-04,0.282653015873016,0.0863222222222222
"Glades",0.496338823529412,0.2327,2021-07-04,0.351525537532843,0.0628388888888889
"Gulf",0.0351452830188679,0.0034,2021-07-04,0.198370365666828,0.0257388888888889
"Hamilton",0.152504166666667,0.0381,2021-07-04,0.291249537037037,0.0697055555555556
"Hardee",0.182638983050847,0.0505,2021-07-04,0.325459686938546,0.0998888888888889
"Hendry",0.537582178217822,0.2466,2021-07-04,0.29372550880088,0.0265333333333333
"Hernando",0.382886046511628,0.0655,2021-07-04,0.305010451413358,0.0334888888888889
"Highlands",0.361243298969072,0.0572,2021-07-04,0.316557276040085,0.0401777777777778
"Hillsborough",0.385811578947369,0.1308,2021-07-04,0.300752592802003,0.0387722222222222
"Holmes",0.42709387755102,0.0811,2021-07-04,0.259528458049887,0.10615
"Indian River",0.396488888888889,0.1573,2021-07-04,0.352021895128115,0.0668166666666667
"Jackson",0.261140816326531,0.0304,2021-07-04,0.313844173270683,0.0473666666666667
"Jefferson",0.0787566666666667,0.0079,2021-07-04,0.267698055555555,0.0767611111111111
"Lafayette",-0.0148823529411765,-0.0277,2021-07-04,0.248750653594771,0.0703277777777778
"Lake",0.0672181818181818,-0.0148,2021-07-04,0.280871387673333,0.0386722222222222
"Lee",0.405951898734177,0.1633,2021-07-04,0.254580142921656,0.0225166666666667
"Leon",0.078775,0.003,2021-07-04,0.237988787060718,0.0312055555555556
"Levy",0.175834234234234,0.0061,2021-07-04,0.267897963208942,0.0137666666666667
"Liberty",0.036643023255814,-0.0056,2021-07-04,0.185929784161727,0.00840555555555556
"Madison",0.108856944444444,0.0217,2021-07-04,0.303664043209876,0.0638222222222222
"Manatee",0.33645652173913,0.0682,2021-07-04,0.296950821677245,0.0308388888888889
"Marion",0.169173291925466,-0.0069,2021-07-04,0.283560457024689,0.0560111111111111
"Martin",0.474311320754717,0.0836,2021-07-04,0.244266047662835,0.00843888888888889
"Miami-Dade",0.357302941176471,0.063,2021-07-04,0.203783180420576,0.00638333333333333
"Monroe",0.327638157894737,0.0465,2021-07-04,0.237044763757745,-0.00494444444444444
"Nassau",0.374716666666667,0.0045,2021-07-04,0.295128596140478,0.0364888888888889
"Okaloosa",0.263560869565217,-0.0242,2021-07-04,0.224168457047472,0.00246666666666667
"Okeechobee",0.548733802816901,0.1873,2021-07-04,0.357668240306034,0.0812777777777778
"Orange",0.280241379310345,-0.0133,2021-07-04,0.250426759703479,0.0257222222222222
"Osceola",0.243753623188406,0.0132,2021-07-04,0.306577358572662,0.0264277777777778
