"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua",2020-11-05,2021.75,NA
12001,"Alachua",2020-11-06,40.25,2021.75
12001,"Alachua",2020-11-07,1114.5,40.25
12001,"Alachua",2020-11-08,435.5,1114.5
12001,"Alachua",2020-11-09,478.75,435.5
12001,"Alachua",2020-11-10,1270.75,478.75
12001,"Alachua",2020-11-11,566,1270.75
12001,"Alachua",2020-11-12,6468.5,566
12001,"Alachua",2020-11-13,344.75,6468.5
12001,"Alachua",2020-11-14,133.25,344.75
12001,"Alachua",2020-11-15,182.75,133.25
12001,"Alachua",2020-11-16,93,182.75
12001,"Alachua",2020-11-17,113.5,93
12001,"Alachua",2020-11-18,838.25,113.5
12001,"Alachua",2020-11-19,294,838.25
12001,"Alachua",2020-11-20,24,294
12001,"Alachua",2020-11-21,37.75,24
12001,"Alachua",2020-11-22,151.25,37.75
12001,"Alachua",2020-11-23,809.25,151.25
12003,"Baker",2020-11-05,18,NA
12003,"Baker",2020-11-06,15.75,18
12003,"Baker",2020-11-07,48,15.75
12003,"Baker",2020-11-08,20.5,48
12003,"Baker",2020-11-09,317.25,20.5
12003,"Baker",2020-11-10,5957,317.25
12003,"Baker",2020-11-11,10,5957
12003,"Baker",2020-11-12,26.25,10
12003,"Baker",2020-11-13,1.25,26.25
12003,"Baker",2020-11-14,5,1.25
12003,"Baker",2020-11-15,225.5,5
12003,"Baker",2020-11-16,1.25,225.5
12003,"Baker",2020-11-17,153.75,1.25
12003,"Baker",2020-11-18,11.75,153.75
12003,"Baker",2020-11-19,2.5,11.75
12003,"Baker",2020-11-20,2.5,2.5
12003,"Baker",2020-11-21,0,2.5
12003,"Baker",2020-11-22,0,0
12003,"Baker",2020-11-23,4.75,0
12005,"Bay",2020-11-05,21.5,NA
12005,"Bay",2020-11-06,111,21.5
12005,"Bay",2020-11-07,1,111
12005,"Bay",2020-11-08,7.25,1
12005,"Bay",2020-11-09,32.5,7.25
12005,"Bay",2020-11-10,10,32.5
12005,"Bay",2020-11-11,10.75,10
12005,"Bay",2020-11-12,65.25,10.75
12005,"Bay",2020-11-13,11.5,65.25
