"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua",2021-09-05,245,NA
12001,"Alachua",2021-09-06,64.5,245
12001,"Alachua",2021-09-07,125.75,64.5
12001,"Alachua",2021-09-08,175.75,125.75
12001,"Alachua",2021-09-09,1572.75,175.75
12001,"Alachua",2021-09-10,2144,1572.75
12001,"Alachua",2021-09-11,95.5,2144
12001,"Alachua",2021-09-12,2549.5,95.5
12001,"Alachua",2021-09-13,36.25,2549.5
12001,"Alachua",2021-09-14,333.25,36.25
12001,"Alachua",2021-09-15,956.25,333.25
12001,"Alachua",2021-09-16,511,956.25
12001,"Alachua",2021-09-17,252.75,511
12001,"Alachua",2021-09-18,208,252.75
12001,"Alachua",2021-09-19,789.75,208
12001,"Alachua",2021-09-20,3300,789.75
12001,"Alachua",2021-09-21,281,3300
12001,"Alachua",2021-09-22,96.25,281
12001,"Alachua",2021-09-23,792.25,96.25
12003,"Baker",2021-09-05,8.25,NA
12003,"Baker",2021-09-06,7.25,8.25
12003,"Baker",2021-09-07,153,7.25
12003,"Baker",2021-09-08,10.25,153
12003,"Baker",2021-09-09,154.25,10.25
12003,"Baker",2021-09-10,39,154.25
12003,"Baker",2021-09-11,13.75,39
12003,"Baker",2021-09-12,0,13.75
12003,"Baker",2021-09-13,3.5,0
12003,"Baker",2021-09-14,862.5,3.5
12003,"Baker",2021-09-15,143.75,862.5
12003,"Baker",2021-09-16,7,143.75
12003,"Baker",2021-09-17,50.5,7
12003,"Baker",2021-09-18,0,50.5
12003,"Baker",2021-09-19,0,0
12003,"Baker",2021-09-20,8.25,0
12003,"Baker",2021-09-21,0.5,8.25
12003,"Baker",2021-09-22,19,0.5
12003,"Baker",2021-09-23,19.75,19
12005,"Bay",2021-09-05,83.5,NA
12005,"Bay",2021-09-06,37.5,83.5
12005,"Bay",2021-09-07,131,37.5
12005,"Bay",2021-09-08,93.5,131
12005,"Bay",2021-09-09,35.5,93.5
12005,"Bay",2021-09-10,1332.75,35.5
12005,"Bay",2021-09-11,724.5,1332.75
12005,"Bay",2021-09-12,47.5,724.5
12005,"Bay",2021-09-13,100.25,47.5
12005,"Bay",2021-09-14,37.5,100.25
12005,"Bay",2021-09-15,39.5,37.5
12005,"Bay",2021-09-16,875.5,39.5
12005,"Bay",2021-09-17,45.75,875.5
12005,"Bay",2021-09-18,437.5,45.75
12005,"Bay",2021-09-19,39.5,437.5
12005,"Bay",2021-09-20,220.75,39.5
12005,"Bay",2021-09-21,4724.25,220.75
12005,"Bay",2021-09-22,435.75,4724.25
12005,"Bay",2021-09-23,82.25,435.75
12007,"Bradford",2021-09-05,0,NA
12007,"Bradford",2021-09-06,1.5,0
12007,"Bradford",2021-09-07,2.25,1.5
12007,"Bradford",2021-09-08,7.5,2.25
12007,"Bradford",2021-09-09,0.75,7.5
12007,"Bradford",2021-09-10,17.75,0.75
12007,"Bradford",2021-09-11,20.75,17.75
12007,"Bradford",2021-09-12,0,20.75
12007,"Bradford",2021-09-13,3,0
12007,"Bradford",2021-09-14,4,3
12007,"Bradford",2021-09-15,13.5,4
12007,"Bradford",2021-09-16,0,13.5
12007,"Bradford",2021-09-17,0,0
12007,"Bradford",2021-09-18,0,0
12007,"Bradford",2021-09-19,4.25,0
12007,"Bradford",2021-09-20,13,4.25
12007,"Bradford",2021-09-21,185.5,13
12007,"Bradford",2021-09-22,7.75,185.5
12007,"Bradford",2021-09-23,4.75,7.75
12009,"Brevard",2021-09-05,384.75,NA
12009,"Brevard",2021-09-06,938.75,384.75
12009,"Brevard",2021-09-07,675,938.75
12009,"Brevard",2021-09-08,585,675
12009,"Brevard",2021-09-09,1522.75,585
12009,"Brevard",2021-09-10,378,1522.75
12009,"Brevard",2021-09-11,1242.25,378
12009,"Brevard",2021-09-12,302,1242.25
12009,"Brevard",2021-09-13,729.25,302
12009,"Brevard",2021-09-14,2621,729.25
12009,"Brevard",2021-09-15,4380.25,2621
12009,"Brevard",2021-09-16,441.75,4380.25
12009,"Brevard",2021-09-17,2365.5,441.75
12009,"Brevard",2021-09-18,2780,2365.5
12009,"Brevard",2021-09-19,1094.75,2780
12009,"Brevard",2021-09-20,4247.5,1094.75
12009,"Brevard",2021-09-21,1978.5,4247.5
12009,"Brevard",2021-09-22,498.75,1978.5
12009,"Brevard",2021-09-23,1889.5,498.75
12011,"Broward",2021-09-05,2811,NA
12011,"Broward",2021-09-06,2726,2811
12011,"Broward",2021-09-07,8511.5,2726
12011,"Broward",2021-09-08,3149.5,8511.5
12011,"Broward",2021-09-09,9710.25,3149.5
12011,"Broward",2021-09-10,5375.25,9710.25
12011,"Broward",2021-09-11,3104,5375.25
12011,"Broward",2021-09-12,1902,3104
12011,"Broward",2021-09-13,6830.25,1902
12011,"Broward",2021-09-14,2075.75,6830.25
12011,"Broward",2021-09-15,5228,2075.75
12011,"Broward",2021-09-16,3609.75,5228
12011,"Broward",2021-09-17,6172.25,3609.75
12011,"Broward",2021-09-18,2498.75,6172.25
12011,"Broward",2021-09-19,4260.25,2498.75
12011,"Broward",2021-09-20,3702.75,4260.25
12011,"Broward",2021-09-21,4730,3702.75
12011,"Broward",2021-09-22,4586.5,4730
12011,"Broward",2021-09-23,4603.75,4586.5
12013,"Calhoun",2021-09-05,0.25,NA
12013,"Calhoun",2021-09-06,34,0.25
12013,"Calhoun",2021-09-07,72.25,34
12013,"Calhoun",2021-09-08,74.25,72.25
12013,"Calhoun",2021-09-09,0,74.25
12013,"Calhoun",2021-09-10,0,0
12013,"Calhoun",2021-09-11,0,0
12013,"Calhoun",2021-09-12,5.25,0
12013,"Calhoun",2021-09-13,8.75,5.25
12013,"Calhoun",2021-09-14,5,8.75
12013,"Calhoun",2021-09-15,4,5
12013,"Calhoun",2021-09-16,12,4
12013,"Calhoun",2021-09-17,8,12
12013,"Calhoun",2021-09-18,0,8
12013,"Calhoun",2021-09-19,0,0
12013,"Calhoun",2021-09-20,106.75,0
12013,"Calhoun",2021-09-21,0,106.75
12013,"Calhoun",2021-09-22,0,0
12013,"Calhoun",2021-09-23,455.25,0
12015,"Charlotte",2021-09-05,529,NA
12015,"Charlotte",2021-09-06,193.25,529
12015,"Charlotte",2021-09-07,338,193.25
12015,"Charlotte",2021-09-08,371,338
12015,"Charlotte",2021-09-09,397.75,371
12015,"Charlotte",2021-09-10,300.5,397.75
12015,"Charlotte",2021-09-11,1077.25,300.5
12015,"Charlotte",2021-09-12,598.25,1077.25
12015,"Charlotte",2021-09-13,1037.25,598.25
12015,"Charlotte",2021-09-14,330.75,1037.25
12015,"Charlotte",2021-09-15,397,330.75
12015,"Charlotte",2021-09-16,225.5,397
12015,"Charlotte",2021-09-17,199.25,225.5
12015,"Charlotte",2021-09-18,172.25,199.25
12015,"Charlotte",2021-09-19,49,172.25
12015,"Charlotte",2021-09-20,368.75,49
12015,"Charlotte",2021-09-21,939.75,368.75
12015,"Charlotte",2021-09-22,557,939.75
12015,"Charlotte",2021-09-23,253.5,557
12017,"Citrus",2021-09-05,2252,NA
12017,"Citrus",2021-09-06,488.5,2252
12017,"Citrus",2021-09-07,50.75,488.5
12017,"Citrus",2021-09-08,2337.75,50.75
12017,"Citrus",2021-09-09,1301.5,2337.75
12017,"Citrus",2021-09-10,350,1301.5
12017,"Citrus",2021-09-11,105.25,350
12017,"Citrus",2021-09-12,1577.5,105.25
12017,"Citrus",2021-09-13,52.25,1577.5
12017,"Citrus",2021-09-14,849.5,52.25
12017,"Citrus",2021-09-15,241.25,849.5
12017,"Citrus",2021-09-16,115.25,241.25
12017,"Citrus",2021-09-17,266,115.25
12017,"Citrus",2021-09-18,1432,266
12017,"Citrus",2021-09-19,111.5,1432
12017,"Citrus",2021-09-20,58.75,111.5
12017,"Citrus",2021-09-21,115.25,58.75
12017,"Citrus",2021-09-22,316.25,115.25
12017,"Citrus",2021-09-23,215.25,316.25
12019,"Clay",2021-09-05,10.5,NA
12019,"Clay",2021-09-06,111.5,10.5
12019,"Clay",2021-09-07,192.75,111.5
12019,"Clay",2021-09-08,84,192.75
12019,"Clay",2021-09-09,165.75,84
12019,"Clay",2021-09-10,79,165.75
12019,"Clay",2021-09-11,275,79
12019,"Clay",2021-09-12,1720.5,275
12019,"Clay",2021-09-13,20.25,1720.5
12019,"Clay",2021-09-14,186.75,20.25
12019,"Clay",2021-09-15,157,186.75
12019,"Clay",2021-09-16,179.75,157
12019,"Clay",2021-09-17,114.75,179.75
12019,"Clay",2021-09-18,81,114.75
12019,"Clay",2021-09-19,19.25,81
12019,"Clay",2021-09-20,112.75,19.25
12019,"Clay",2021-09-21,68.75,112.75
12019,"Clay",2021-09-22,344.5,68.75
12019,"Clay",2021-09-23,286,344.5
12021,"Collier",2021-09-05,248.75,NA
12021,"Collier",2021-09-06,1596,248.75
