"fips_code","county","date","total_outage","prev_outage"
12001,"Alachua","2021-07-03",422.25,NA
12001,"Alachua","2021-07-04",41.5,422.25
12001,"Alachua","2021-07-05",183.5,41.5
12001,"Alachua","2021-07-06",954.25,183.5
12001,"Alachua","2021-07-07",21368.5,954.25
12001,"Alachua","2021-07-08",8376,21368.5
12001,"Alachua","2021-07-09",2140.5,8376
12001,"Alachua","2021-07-10",975.5,2140.5
12001,"Alachua","2021-07-11",1098.5,975.5
12001,"Alachua","2021-07-12",130.5,1098.5
12001,"Alachua","2021-07-13",38.75,130.5
12001,"Alachua","2021-07-14",929,38.75
12001,"Alachua","2021-07-15",883.5,929
12001,"Alachua","2021-07-16",31.75,883.5
12001,"Alachua","2021-07-17",79.75,31.75
12001,"Alachua","2021-07-18",58.75,79.75
12001,"Alachua","2021-07-19",90,58.75
12001,"Alachua","2021-07-20",118,90
12001,"Alachua","2021-07-21",1471.75,118
12003,"Baker","2021-07-03",133.5,NA
12003,"Baker","2021-07-04",38.5,133.5
12003,"Baker","2021-07-05",106,38.5
12003,"Baker","2021-07-06",200,106
12003,"Baker","2021-07-07",5120.5,200
12003,"Baker","2021-07-08",2704,5120.5
12003,"Baker","2021-07-09",846.75,2704
12003,"Baker","2021-07-10",12.75,846.75
12003,"Baker","2021-07-11",9,12.75
12003,"Baker","2021-07-12",3.5,9
12003,"Baker","2021-07-13",0,3.5
12003,"Baker","2021-07-14",24.5,0
12003,"Baker","2021-07-15",8,24.5
12003,"Baker","2021-07-16",33.25,8
12003,"Baker","2021-07-17",54.5,33.25
12003,"Baker","2021-07-18",112,54.5
12003,"Baker","2021-07-19",79.25,112
12003,"Baker","2021-07-20",211.5,79.25
12003,"Baker","2021-07-21",188.25,211.5
12005,"Bay","2021-07-03",297.75,NA
12005,"Bay","2021-07-04",622.25,297.75
12005,"Bay","2021-07-05",50.75,622.25
12005,"Bay","2021-07-06",65.75,50.75
12005,"Bay","2021-07-07",192.25,65.75
12005,"Bay","2021-07-08",542,192.25
12005,"Bay","2021-07-09",161,542
12005,"Bay","2021-07-10",13.5,161
12005,"Bay","2021-07-11",75.75,13.5
12005,"Bay","2021-07-12",122.75,75.75
12005,"Bay","2021-07-13",346.75,122.75
12005,"Bay","2021-07-14",508.75,346.75
12005,"Bay","2021-07-15",1253.75,508.75
12005,"Bay","2021-07-16",240.75,1253.75
12005,"Bay","2021-07-17",43,240.75
12005,"Bay","2021-07-18",2203,43
12005,"Bay","2021-07-19",184,2203
12005,"Bay","2021-07-20",174,184
12005,"Bay","2021-07-21",69.5,174
12007,"Bradford","2021-07-03",184.5,NA
12007,"Bradford","2021-07-04",0,184.5
12007,"Bradford","2021-07-05",0,0
12007,"Bradford","2021-07-06",12.5,0
12007,"Bradford","2021-07-07",2477.25,12.5
12007,"Bradford","2021-07-08",426.5,2477.25
12007,"Bradford","2021-07-09",19.5,426.5
12007,"Bradford","2021-07-10",11,19.5
12007,"Bradford","2021-07-11",1,11
12007,"Bradford","2021-07-12",6.75,1
12007,"Bradford","2021-07-13",42,6.75
12007,"Bradford","2021-07-14",0,42
12007,"Bradford","2021-07-15",0,0
12007,"Bradford","2021-07-16",2.75,0
12007,"Bradford","2021-07-17",5.25,2.75
12007,"Bradford","2021-07-18",0,5.25
12007,"Bradford","2021-07-19",2,0
12007,"Bradford","2021-07-20",2.5,2
12007,"Bradford","2021-07-21",0.25,2.5
12009,"Brevard","2021-07-03",501.25,NA
12009,"Brevard","2021-07-04",1074.5,501.25
12009,"Brevard","2021-07-05",3325.75,1074.5
12009,"Brevard","2021-07-06",3748.5,3325.75
12009,"Brevard","2021-07-07",1204.5,3748.5
12009,"Brevard","2021-07-08",3797.5,1204.5
12009,"Brevard","2021-07-09",1603,3797.5
12009,"Brevard","2021-07-10",3846,1603
12009,"Brevard","2021-07-11",1764.75,3846
12009,"Brevard","2021-07-12",4623.75,1764.75
12009,"Brevard","2021-07-13",1778.75,4623.75
12009,"Brevard","2021-07-14",4015.75,1778.75
12009,"Brevard","2021-07-15",471.5,4015.75
