"fips_code","county","date","total_outage","day_difference"
12001,"Alachua",2020-11-06,40.25,-3
12001,"Alachua",2020-11-07,1114.5,-2
12001,"Alachua",2020-11-08,435.5,-1
12001,"Alachua",2020-11-09,478.75,0
12001,"Alachua",2020-11-10,1270.75,1
12001,"Alachua",2020-11-11,566,2
12001,"Alachua",2020-11-12,6468.5,3
12001,"Alachua",2020-11-13,344.75,4
12001,"Alachua",2020-11-14,133.25,5
12001,"Alachua",2020-11-15,182.75,6
12001,"Alachua",2020-11-16,93,7
12001,"Alachua",2020-11-17,113.5,8
12001,"Alachua",2020-11-18,838.25,9
12001,"Alachua",2020-11-19,294,10
12001,"Alachua",2020-11-20,24,11
12001,"Alachua",2020-11-21,37.75,12
12001,"Alachua",2020-11-22,151.25,13
12001,"Alachua",2020-11-23,809.25,14
12003,"Baker",2020-11-06,15.75,-3
12003,"Baker",2020-11-07,48,-2
12003,"Baker",2020-11-08,20.5,-1
12003,"Baker",2020-11-09,317.25,0
12003,"Baker",2020-11-10,5957,1
12003,"Baker",2020-11-11,10,2
12003,"Baker",2020-11-12,26.25,3
12003,"Baker",2020-11-13,1.25,4
12003,"Baker",2020-11-14,5,5
12003,"Baker",2020-11-15,225.5,6
12003,"Baker",2020-11-16,1.25,7
12003,"Baker",2020-11-17,153.75,8
12003,"Baker",2020-11-18,11.75,9
12003,"Baker",2020-11-19,2.5,10
12003,"Baker",2020-11-20,2.5,11
12003,"Baker",2020-11-23,4.75,14
12005,"Bay",2020-11-06,111,-3
12005,"Bay",2020-11-07,1,-2
12005,"Bay",2020-11-08,7.25,-1
12005,"Bay",2020-11-09,32.5,0
12005,"Bay",2020-11-10,10,1
12005,"Bay",2020-11-11,10.75,2
12005,"Bay",2020-11-12,65.25,3
12005,"Bay",2020-11-13,11.5,4
12005,"Bay",2020-11-14,55.5,5
12005,"Bay",2020-11-15,40,6
12005,"Bay",2020-11-16,70.25,7
12005,"Bay",2020-11-17,14.5,8
12005,"Bay",2020-11-18,28,9
12005,"Bay",2020-11-19,56.5,10
12005,"Bay",2020-11-20,67,11
12005,"Bay",2020-11-21,124,12
12005,"Bay",2020-11-22,47.25,13
12005,"Bay",2020-11-23,73.25,14
12007,"Bradford",2020-11-06,0.5,-3
12007,"Bradford",2020-11-07,144.75,-2
12007,"Bradford",2020-11-08,58.25,-1
12007,"Bradford",2020-11-09,142.25,0
12007,"Bradford",2020-11-10,141,1
12007,"Bradford",2020-11-11,2,2
12007,"Bradford",2020-11-12,1373,3
12007,"Bradford",2020-11-13,1.25,4
12007,"Bradford",2020-11-14,1274.25,5
12007,"Bradford",2020-11-15,217.5,6
12007,"Bradford",2020-11-16,62.25,7
12007,"Bradford",2020-11-17,18.25,8
12007,"Bradford",2020-11-18,25.5,9
12007,"Bradford",2020-11-19,131.25,10
12007,"Bradford",2020-11-20,6.75,11
12007,"Bradford",2020-11-21,7,12
12007,"Bradford",2020-11-22,1.25,13
12007,"Bradford",2020-11-23,560.5,14
12009,"Brevard",2020-11-06,200.5,-3
12009,"Brevard",2020-11-07,536.75,-2
12009,"Brevard",2020-11-08,1340.25,-1
12009,"Brevard",2020-11-09,21229.5,0
12009,"Brevard",2020-11-10,6459.75,1
12009,"Brevard",2020-11-11,1323.5,2
12009,"Brevard",2020-11-12,1135.75,3
12009,"Brevard",2020-11-13,490,4
12009,"Brevard",2020-11-14,216.5,5
12009,"Brevard",2020-11-15,228,6
12009,"Brevard",2020-11-16,364,7
12009,"Brevard",2020-11-17,2151.5,8
12009,"Brevard",2020-11-18,747.25,9
