"fips_code","county","date","total_outage","day_difference"
12001,"Alachua",2021-09-06,64.5,-3
12001,"Alachua",2021-09-07,125.75,-2
12001,"Alachua",2021-09-08,175.75,-1
12001,"Alachua",2021-09-09,1572.75,0
12001,"Alachua",2021-09-10,2144,1
12001,"Alachua",2021-09-11,95.5,2
12001,"Alachua",2021-09-12,2549.5,3
12001,"Alachua",2021-09-13,36.25,4
12001,"Alachua",2021-09-14,333.25,5
12001,"Alachua",2021-09-15,956.25,6
12001,"Alachua",2021-09-16,511,7
12001,"Alachua",2021-09-17,252.75,8
12001,"Alachua",2021-09-18,208,9
12001,"Alachua",2021-09-19,789.75,10
12001,"Alachua",2021-09-20,3300,11
12001,"Alachua",2021-09-21,281,12
12001,"Alachua",2021-09-22,96.25,13
12001,"Alachua",2021-09-23,792.25,14
12003,"Baker",2021-09-06,7.25,-3
12003,"Baker",2021-09-07,153,-2
12003,"Baker",2021-09-08,10.25,-1
12003,"Baker",2021-09-09,154.25,0
12003,"Baker",2021-09-10,39,1
12003,"Baker",2021-09-11,13.75,2
12003,"Baker",2021-09-13,3.5,4
12003,"Baker",2021-09-14,862.5,5
12003,"Baker",2021-09-15,143.75,6
12003,"Baker",2021-09-16,7,7
12003,"Baker",2021-09-17,50.5,8
12003,"Baker",2021-09-20,8.25,11
12003,"Baker",2021-09-21,0.5,12
12003,"Baker",2021-09-22,19,13
12003,"Baker",2021-09-23,19.75,14
12005,"Bay",2021-09-06,37.5,-3
12005,"Bay",2021-09-07,131,-2
12005,"Bay",2021-09-08,93.5,-1
12005,"Bay",2021-09-09,35.5,0
12005,"Bay",2021-09-10,1332.75,1
12005,"Bay",2021-09-11,724.5,2
12005,"Bay",2021-09-12,47.5,3
12005,"Bay",2021-09-13,100.25,4
12005,"Bay",2021-09-14,37.5,5
12005,"Bay",2021-09-15,39.5,6
12005,"Bay",2021-09-16,875.5,7
12005,"Bay",2021-09-17,45.75,8
12005,"Bay",2021-09-18,437.5,9
12005,"Bay",2021-09-19,39.5,10
12005,"Bay",2021-09-20,220.75,11
12005,"Bay",2021-09-21,4724.25,12
12005,"Bay",2021-09-22,435.75,13
