"fips_code","county","date","total_outage","day_difference"
12001,"Alachua","2021-07-04",41.5,-3
12001,"Alachua","2021-07-05",183.5,-2
12001,"Alachua","2021-07-06",954.25,-1
12001,"Alachua","2021-07-07",21368.5,0
12001,"Alachua","2021-07-08",8376,1
12001,"Alachua","2021-07-09",2140.5,2
12001,"Alachua","2021-07-10",975.5,3
12001,"Alachua","2021-07-11",1098.5,4
12001,"Alachua","2021-07-12",130.5,5
12001,"Alachua","2021-07-13",38.75,6
12001,"Alachua","2021-07-14",929,7
12001,"Alachua","2021-07-15",883.5,8
12001,"Alachua","2021-07-16",31.75,9
12001,"Alachua","2021-07-17",79.75,10
12001,"Alachua","2021-07-18",58.75,11
12001,"Alachua","2021-07-19",90,12
12001,"Alachua","2021-07-20",118,13
12001,"Alachua","2021-07-21",1471.75,14
12003,"Baker","2021-07-04",38.5,-3
12003,"Baker","2021-07-05",106,-2
12003,"Baker","2021-07-06",200,-1
12003,"Baker","2021-07-07",5120.5,0
12003,"Baker","2021-07-08",2704,1
12003,"Baker","2021-07-09",846.75,2
12003,"Baker","2021-07-10",12.75,3
12003,"Baker","2021-07-11",9,4
12003,"Baker","2021-07-12",3.5,5
12003,"Baker","2021-07-14",24.5,7
12003,"Baker","2021-07-15",8,8
12003,"Baker","2021-07-16",33.25,9
12003,"Baker","2021-07-17",54.5,10
12003,"Baker","2021-07-18",112,11
12003,"Baker","2021-07-19",79.25,12
12003,"Baker","2021-07-20",211.5,13
12003,"Baker","2021-07-21",188.25,14
12005,"Bay","2021-07-04",622.25,-3
12005,"Bay","2021-07-05",50.75,-2
12005,"Bay","2021-07-06",65.75,-1
12005,"Bay","2021-07-07",192.25,0
12005,"Bay","2021-07-08",542,1
12005,"Bay","2021-07-09",161,2
12005,"Bay","2021-07-10",13.5,3
12005,"Bay","2021-07-11",75.75,4
12005,"Bay","2021-07-12",122.75,5
12005,"Bay","2021-07-13",346.75,6
12005,"Bay","2021-07-14",508.75,7
12005,"Bay","2021-07-15",1253.75,8
12005,"Bay","2021-07-16",240.75,9
12005,"Bay","2021-07-17",43,10
12005,"Bay","2021-07-18",2203,11
12005,"Bay","2021-07-19",184,12
12005,"Bay","2021-07-20",174,13
12005,"Bay","2021-07-21",69.5,14
12007,"Bradford","2021-07-06",12.5,-1
12007,"Bradford","2021-07-07",2477.25,0
12007,"Bradford","2021-07-08",426.5,1
12007,"Bradford","2021-07-09",19.5,2
12007,"Bradford","2021-07-10",11,3
12007,"Bradford","2021-07-11",1,4
12007,"Bradford","2021-07-12",6.75,5
12007,"Bradford","2021-07-13",42,6
12007,"Bradford","2021-07-16",2.75,9
12007,"Bradford","2021-07-17",5.25,10
12007,"Bradford","2021-07-19",2,12
12007,"Bradford","2021-07-20",2.5,13
12007,"Bradford","2021-07-21",0.25,14
12009,"Brevard","2021-07-04",1074.5,-3
12009,"Brevard","2021-07-05",3325.75,-2
12009,"Brevard","2021-07-06",3748.5,-1
12009,"Brevard","2021-07-07",1204.5,0
12009,"Brevard","2021-07-08",3797.5,1
12009,"Brevard","2021-07-09",1603,2
12009,"Brevard","2021-07-10",3846,3
12009,"Brevard","2021-07-11",1764.75,4
12009,"Brevard","2021-07-12",4623.75,5
12009,"Brevard","2021-07-13",1778.75,6
12009,"Brevard","2021-07-14",4015.75,7
12009,"Brevard","2021-07-15",471.5,8
12009,"Brevard","2021-07-16",1089.25,9
12009,"Brevard","2021-07-17",214.75,10
12009,"Brevard","2021-07-18",2139.25,11
12009,"Brevard","2021-07-19",1773.5,12
12009,"Brevard","2021-07-20",2444.5,13
12009,"Brevard","2021-07-21",843,14
12011,"Broward","2021-07-04",11442.5,-3
12011,"Broward","2021-07-05",9707,-2
12011,"Broward","2021-07-06",5204,-1
12011,"Broward","2021-07-07",1158.75,0
12011,"Broward","2021-07-08",6230.5,1
12011,"Broward","2021-07-09",1678,2
12011,"Broward","2021-07-10",2957.5,3
