"DATE","county","max_prcp","min_prcp","mean_prcp"
"2021-08-13","Alachua County",0.2,0,0.0233333333333333
"2021-08-13","Baker County",0,0,0
"2021-08-13","Bay County",1.8,0.02,0.477857142857143
"2021-08-13","Brevard County",0.72,0,0.185128205128205
"2021-08-13","Broward County",2.3,0.12,0.839677419354839
"2021-08-13","Charlotte County",0.27,0.02,0.144166666666667
"2021-08-13","Citrus County",0.18,0,0.0375
"2021-08-13","Clay County",0.62,0,0.0738461538461538
"2021-08-13","Collier County",0.15,0,0.0230769230769231
"2021-08-13","Columbia County",0,0,0
"2021-08-13","DeSoto County",0.55,0.55,0.55
"2021-08-13","Dixie County",0.6,0,0.206666666666667
"2021-08-13","Duval County",1.01,0,0.1456
"2021-08-13","Escambia County",0.41,0,0.04
"2021-08-13","Flagler County",0.02,0,0.00142857142857143
"2021-08-13","Franklin County",0.76,0,0.2
"2021-08-13","Gadsden County",1.49,0.19,0.92
"2021-08-13","Gilchrist County",0,0,0
"2021-08-13","Glades County",0.24,0,0.06
"2021-08-13","Gulf County",0.15,0.15,0.15
"2021-08-13","Hamilton County",0,0,0
"2021-08-13","Hardee County",2.02,0.95,1.485
"2021-08-13","Hendry County",0.24,0,0.04
"2021-08-13","Hernando County",0.86,0,0.119090909090909
"2021-08-13","Highlands County",0.63,0,0.14
"2021-08-13","Hillsborough County",1.42,0,0.338809523809524
"2021-08-13","Indian River County",1.57,0,0.179166666666667
"2021-08-13","Jackson County",0.77,0,0.4825
"2021-08-13","Jefferson County",0.74,0.11,0.315
"2021-08-13","Lafayette County",0,0,0
"2021-08-13","Lake County",1.17,0,0.197692307692308
"2021-08-13","Lee County",0.77,0,0.389090909090909
"2021-08-13","Leon County",2.22,0,0.494
"2021-08-13","Levy County",0.21,0,0.05
"2021-08-13","Manatee County",1.95,0,0.605625
"2021-08-13","Marion County",1.26,0,0.23625
"2021-08-13","Martin County",4.2,0,0.347777777777778
"2021-08-13","Miami-Dade County",3.01,0,1.08642857142857
"2021-08-13","Monroe County",2.22,0.02,0.470454545454545
"2021-08-13","Nassau County",0.03,0,0.008
"2021-08-13","Okaloosa County",0.46,0,0.0592857142857143
"2021-08-13","Orange County",0.74,0,0.1905
"2021-08-13","Osceola County",0.02,0,0.0025
"2021-08-13","Palm Beach County",2.06,0,0.333181818181818
"2021-08-13","Pasco County",1.21,0,0.366153846153846
"2021-08-13","Pinellas County",1.65,0.05,0.556071428571429
"2021-08-13","Polk County",0.42,0,0.0863157894736842
"2021-08-13","Putnam County",0.48,0,0.0842857142857143
"2021-08-13","Santa Rosa County",0.95,0,0.22
"2021-08-13","Sarasota County",1.87,0,0.728
"2021-08-13","Seminole County",0.69,0,0.161111111111111
"2021-08-13","St. Johns County",0.64,0,0.06
"2021-08-13","St. Lucie County",1.06,0,0.272857142857143
"2021-08-13","Sumter County",0.02,0,0.00375
"2021-08-13","Suwannee County",0.74,0,0.305
"2021-08-13","Taylor County",0,0,0
"2021-08-13","Volusia County",0.49,0,0.0244444444444444
"2021-08-13","Wakulla County",0.06,0.04,0.05
"2021-08-13","Walton County",0.03,0,0.0125
"2021-08-13","Washington County",2.05,0.25,0.8425
"2021-08-14","Alachua County",0.54,0,0.0535
"2021-08-14","Baker County",0.09,0,0.03
"2021-08-14","Bay County",1.05,0,0.438571428571429
"2021-08-14","Brevard County",2.92,0.01,0.707619047619048
"2021-08-14","Broward County",0.52,0,0.190333333333333
"2021-08-14","Charlotte County",0.4,0,0.110909090909091
"2021-08-14","Citrus County",0.82,0.02,0.37
"2021-08-14","Clay County",0.1,0,0.00769230769230769
"2021-08-14","Collier County",1.8,0,0.28375
"2021-08-14","Columbia County",1.15,0,0.29875
"2021-08-14","DeSoto County",0.03,0.03,0.03
"2021-08-14","Dixie County",0,0,0
