"fips_code","county","date","total_outage","prev_3day_avg_outage"
12001,"Alachua",2020-11-03,12.75,NA
12001,"Alachua",2020-11-04,157.25,12.75
12001,"Alachua",2020-11-05,2021.75,85
12001,"Alachua",2020-11-06,40.25,730.583333333333
12001,"Alachua",2020-11-07,1114.5,739.75
12001,"Alachua",2020-11-08,435.5,1058.83333333333
12001,"Alachua",2020-11-09,478.75,530.083333333333
12001,"Alachua",2020-11-10,1270.75,676.25
12001,"Alachua",2020-11-11,566,728.333333333333
12001,"Alachua",2020-11-12,6468.5,771.833333333333
12001,"Alachua",2020-11-13,344.75,2768.41666666667
12001,"Alachua",2020-11-14,133.25,2459.75
12001,"Alachua",2020-11-15,182.75,2315.5
12001,"Alachua",2020-11-16,93,220.25
12001,"Alachua",2020-11-17,113.5,136.333333333333
12001,"Alachua",2020-11-18,838.25,129.75
12001,"Alachua",2020-11-19,294,348.25
12001,"Alachua",2020-11-20,24,415.25
12001,"Alachua",2020-11-21,37.75,385.416666666667
12001,"Alachua",2020-11-22,151.25,118.583333333333
12001,"Alachua",2020-11-23,809.25,71
12003,"Baker",2020-11-03,33.5,NA
12003,"Baker",2020-11-04,0,33.5
12003,"Baker",2020-11-05,18,16.75
12003,"Baker",2020-11-06,15.75,17.1666666666667
12003,"Baker",2020-11-07,48,11.25
12003,"Baker",2020-11-08,20.5,27.25
12003,"Baker",2020-11-09,317.25,28.0833333333333
12003,"Baker",2020-11-10,5957,128.583333333333
12003,"Baker",2020-11-11,10,2098.25
12003,"Baker",2020-11-12,26.25,2094.75
12003,"Baker",2020-11-13,1.25,1997.75
12003,"Baker",2020-11-14,5,12.5
12003,"Baker",2020-11-15,225.5,10.8333333333333
12003,"Baker",2020-11-16,1.25,77.25
12003,"Baker",2020-11-17,153.75,77.25
12003,"Baker",2020-11-18,11.75,126.833333333333
12003,"Baker",2020-11-19,2.5,55.5833333333333
12003,"Baker",2020-11-20,2.5,56
12003,"Baker",2020-11-21,0,5.58333333333333
12003,"Baker",2020-11-22,0,1.66666666666667
12003,"Baker",2020-11-23,4.75,0.833333333333333
12005,"Bay",2020-11-03,84.5,NA
12005,"Bay",2020-11-04,30,84.5
12005,"Bay",2020-11-05,21.5,57.25
12005,"Bay",2020-11-06,111,45.3333333333333
12005,"Bay",2020-11-07,1,54.1666666666667
12005,"Bay",2020-11-08,7.25,44.5
12005,"Bay",2020-11-09,32.5,39.75
12005,"Bay",2020-11-10,10,13.5833333333333
12005,"Bay",2020-11-11,10.75,16.5833333333333
12005,"Bay",2020-11-12,65.25,17.75
12005,"Bay",2020-11-13,11.5,28.6666666666667
12005,"Bay",2020-11-14,55.5,29.1666666666667
12005,"Bay",2020-11-15,40,44.0833333333333
12005,"Bay",2020-11-16,70.25,35.6666666666667
