"fips_code","county","date","total_outage","prev_3day_avg_outage"
12001,"Alachua",2021-09-03,285.75,NA
12001,"Alachua",2021-09-04,131.25,285.75
12001,"Alachua",2021-09-05,245,208.5
12001,"Alachua",2021-09-06,64.5,220.666666666667
12001,"Alachua",2021-09-07,125.75,146.916666666667
12001,"Alachua",2021-09-08,175.75,145.083333333333
12001,"Alachua",2021-09-09,1572.75,122
12001,"Alachua",2021-09-10,2144,624.75
12001,"Alachua",2021-09-11,95.5,1297.5
12001,"Alachua",2021-09-12,2549.5,1270.75
12001,"Alachua",2021-09-13,36.25,1596.33333333333
12001,"Alachua",2021-09-14,333.25,893.75
12001,"Alachua",2021-09-15,956.25,973
12001,"Alachua",2021-09-16,511,441.916666666667
12001,"Alachua",2021-09-17,252.75,600.166666666667
12001,"Alachua",2021-09-18,208,573.333333333333
12001,"Alachua",2021-09-19,789.75,323.916666666667
12001,"Alachua",2021-09-20,3300,416.833333333333
12001,"Alachua",2021-09-21,281,1432.58333333333
12001,"Alachua",2021-09-22,96.25,1456.91666666667
12001,"Alachua",2021-09-23,792.25,1225.75
12003,"Baker",2021-09-03,2497.5,NA
12003,"Baker",2021-09-04,21.25,2497.5
12003,"Baker",2021-09-05,8.25,1259.375
12003,"Baker",2021-09-06,7.25,842.333333333333
12003,"Baker",2021-09-07,153,12.25
12003,"Baker",2021-09-08,10.25,56.1666666666667
12003,"Baker",2021-09-09,154.25,56.8333333333333
12003,"Baker",2021-09-10,39,105.833333333333
12003,"Baker",2021-09-11,13.75,67.8333333333333
12003,"Baker",2021-09-12,0,69
12003,"Baker",2021-09-13,3.5,17.5833333333333
12003,"Baker",2021-09-14,862.5,5.75
12003,"Baker",2021-09-15,143.75,288.666666666667
12003,"Baker",2021-09-16,7,336.583333333333
12003,"Baker",2021-09-17,50.5,337.75
12003,"Baker",2021-09-18,0,67.0833333333333
12003,"Baker",2021-09-19,0,19.1666666666667
12003,"Baker",2021-09-20,8.25,16.8333333333333
12003,"Baker",2021-09-21,0.5,2.75
12003,"Baker",2021-09-22,19,2.91666666666667
12003,"Baker",2021-09-23,19.75,9.25
12005,"Bay",2021-09-03,1179.75,NA
12005,"Bay",2021-09-04,21.75,1179.75
12005,"Bay",2021-09-05,83.5,600.75
12005,"Bay",2021-09-06,37.5,428.333333333333
12005,"Bay",2021-09-07,131,47.5833333333333
12005,"Bay",2021-09-08,93.5,84
12005,"Bay",2021-09-09,35.5,87.3333333333333
12005,"Bay",2021-09-10,1332.75,86.6666666666667
12005,"Bay",2021-09-11,724.5,487.25
12005,"Bay",2021-09-12,47.5,697.583333333333
12005,"Bay",2021-09-13,100.25,701.583333333333
12005,"Bay",2021-09-14,37.5,290.75
12005,"Bay",2021-09-15,39.5,61.75
12005,"Bay",2021-09-16,875.5,59.0833333333333
12005,"Bay",2021-09-17,45.75,317.5
12005,"Bay",2021-09-18,437.5,320.25
12005,"Bay",2021-09-19,39.5,452.916666666667
12005,"Bay",2021-09-20,220.75,174.25
12005,"Bay",2021-09-21,4724.25,232.583333333333
12005,"Bay",2021-09-22,435.75,1661.5
12005,"Bay",2021-09-23,82.25,1793.58333333333
12007,"Bradford",2021-09-03,340.75,NA
12007,"Bradford",2021-09-04,0,340.75
12007,"Bradford",2021-09-05,0,170.375
12007,"Bradford",2021-09-06,1.5,113.583333333333
12007,"Bradford",2021-09-07,2.25,0.5
12007,"Bradford",2021-09-08,7.5,1.25
12007,"Bradford",2021-09-09,0.75,3.75
12007,"Bradford",2021-09-10,17.75,3.5
12007,"Bradford",2021-09-11,20.75,8.66666666666667
12007,"Bradford",2021-09-12,0,13.0833333333333
12007,"Bradford",2021-09-13,3,12.8333333333333
12007,"Bradford",2021-09-14,4,7.91666666666667
12007,"Bradford",2021-09-15,13.5,2.33333333333333
12007,"Bradford",2021-09-16,0,6.83333333333333
